model,strategy,training_size,coverage,set_size,acc,duration
RF,lac_split,186,0.931,2.0884,0.731,0.2190000000409782
RF,lac_split,187,0.9432,2.3724,0.683,0.2190000000409782
RF,lac_split,188,0.9738,3.141,0.6904,0.2029999999795109
RF,lac_split,189,0.9314,2.0478,0.7042,0.2029999999795109
RF,lac_split,190,0.98,2.8142,0.732,0.20300000009592623
RF,lac_split,191,0.909,1.9782,0.6924,0.2029999999795109
RF,lac_split,192,0.9662,3.0426,0.6402,0.23499999998603016
RF,lac_split,193,0.9852,3.2798,0.7382,0.18700000003445894
RF,lac_split,194,0.9112,1.9004,0.7124,0.2029999999795109
RF,lac_split,195,0.893,1.8578,0.7104,0.20300000009592623
RF,lac_split,196,0.897,1.9776,0.6894,0.18799999996554106
RF,lac_split,197,0.8534,1.5444,0.7176,0.18700000003445894
RF,lac_split,198,0.9416,2.1212,0.7314,0.2029999999795109
RF,lac_split,199,0.9278,2.1246,0.7066,0.1880000000819564
RF,lac_split,200,0.908,1.8578,0.7264,0.2029999999795109
RF,lac_split,201,0.9026,1.844,0.7144,0.20400000002700835
RF,lac_split,202,0.9732,2.9008,0.696,0.18700000003445894
RF,lac_split,203,0.8296,1.3746,0.7244,0.2029999999795109
RF,lac_split,204,0.9076,1.8124,0.7144,0.2029999999795109
RF,lac_split,205,0.8312,1.7086,0.6686,0.2029999999795109
RF,lac_split,206,0.9354,2.345,0.721,0.2029999999795109
RF,lac_split,207,0.9382,2.2312,0.7064,0.2029999999795109
RF,lac_split,208,0.9502,2.3748,0.729,0.2029999999795109
RF,lac_split,209,0.9432,2.268,0.723,0.21899999992456287
RF,lac_split,210,0.9696,2.8782,0.718,0.20300000009592623
RF,lac_split,211,0.9626,2.676,0.7212,0.2029999999795109
RF,lac_split,212,0.9076,1.7182,0.7222,0.21899999992456287
RF,lac_split,213,0.876,1.6508,0.7258,0.2190000000409782
RF,lac_split,214,0.8672,1.568,0.716,0.2339999999385327
RF,lac_split,215,0.8774,1.6252,0.7174,0.21799999999348074
RF,lac_split,216,0.909,1.7908,0.7336,0.20300000009592623
RF,lac_split,217,0.8984,1.5608,0.761,0.2190000000409782
RF,lac_split,218,0.9276,2.0084,0.7486,0.20400000002700835
RF,lac_split,219,0.9742,2.7362,0.7318,0.2029999999795109
RF,lac_split,220,0.9408,2.2996,0.6892,0.21899999992456287
RF,lac_split,221,0.8944,1.8544,0.704,0.2029999999795109
RF,lac_split,222,0.945,2.315,0.7234,0.2029999999795109
RF,lac_split,223,0.8764,1.6514,0.7228,0.23499999998603016
RF,lac_split,224,0.9734,2.5138,0.7648,0.2190000000409782
RF,lac_split,225,0.9606,2.5258,0.722,0.21899999992456287
RF,lac_split,226,0.8408,1.3864,0.733,0.21799999999348074
RF,lac_split,227,0.9158,1.774,0.7536,0.2190000000409782
RF,lac_split,228,0.9644,2.5428,0.7258,0.2029999999795109
RF,lac_split,229,0.9312,1.957,0.7408,0.2190000000409782
RF,lac_split,230,0.9356,1.957,0.7526,0.21899999992456287
RF,lac_split,231,0.9388,2.1624,0.705,0.2190000000409782
RF,lac_split,232,0.9682,2.4642,0.7578,0.2190000000409782
RF,lac_split,233,0.9456,2.2904,0.721,0.2190000000409782
RF,lac_split,234,0.9438,2.3024,0.7294,0.23499999998603016
RF,lac_split,235,0.9296,2.0468,0.7248,0.23400000005494803
RF,lac_split,236,0.933,1.9676,0.741,0.23499999998603016
RF,lac_split,237,0.9186,1.7466,0.7586,0.2339999999385327
RF,lac_split,238,0.9394,2.198,0.7166,0.2190000000409782
RF,lac_split,239,0.8652,1.3644,0.7728,0.2190000000409782
RF,lac_split,240,0.865,1.5582,0.7186,0.23499999998603016
RF,lac_split,241,0.942,2.1262,0.7398,0.21899999992456287
RF,lac_split,242,0.8908,1.7172,0.7382,0.2190000000409782
RF,lac_split,243,0.9552,2.2132,0.7546,0.21899999992456287
RF,lac_split,244,0.9648,2.5074,0.7126,0.23400000005494803
RF,lac_split,245,0.884,1.5568,0.7492,0.23499999998603016
RF,lac_split,246,0.8268,1.3716,0.7174,0.2190000000409782
RF,lac_split,247,0.83,1.2432,0.7476,0.23400000005494803
RF,lac_split,248,0.8472,1.389,0.739,0.2339999999385327
RF,lac_split,249,0.8672,1.445,0.7598,0.23400000005494803
RF,lac_split,250,0.7634,1.158,0.7062,0.2339999999385327
RF,lac_split,251,0.9834,3.0872,0.7412,0.23499999998603016
RF,lac_split,252,0.926,1.9816,0.7174,0.2190000000409782
RF,lac_split,253,0.8842,1.4652,0.761,0.2339999999385327
RF,lac_split,254,0.9566,2.3904,0.7202,0.23499999998603016
RF,lac_split,255,0.8274,1.1636,0.7786,0.23400000005494803
RF,lac_split,256,0.9514,2.121,0.741,0.2339999999385327
RF,lac_split,257,0.9518,2.1394,0.7584,0.23499999998603016
RF,lac_split,258,0.8386,1.3726,0.726,0.23499999998603016
RF,lac_split,259,0.8806,1.6496,0.7168,0.23400000005494803
RF,lac_split,260,0.8932,1.6158,0.7438,0.23499999998603016
RF,lac_split,261,0.8054,1.2312,0.7396,0.23400000005494803
RF,lac_split,262,0.904,1.6314,0.74,0.2339999999385327
RF,lac_split,263,0.9128,1.8334,0.7344,0.23499999998603016
RF,lac_split,264,0.8968,1.7168,0.7238,0.23499999998603016
RF,lac_split,265,0.8346,1.2752,0.7426,0.23400000005494803
RF,lac_split,266,0.8898,1.559,0.7448,0.2339999999385327
RF,lac_split,267,0.959,2.3976,0.743,0.23499999998603016
RF,lac_split,268,0.93,1.8792,0.7588,0.25
RF,lac_split,269,0.917,1.6306,0.7764,0.2339999999385327
RF,lac_split,270,0.8682,1.4606,0.7456,0.25
RF,lac_split,271,0.9296,1.9034,0.741,0.25
RF,lac_split,272,0.9458,2.0334,0.7604,0.25
RF,lac_split,273,0.958,2.354,0.7442,0.23400000005494803
RF,lac_split,274,0.9034,1.5866,0.7628,0.23499999998603016
RF,lac_split,275,0.8632,1.3414,0.7608,0.23400000005494803
RF,lac_split,276,0.8316,1.2246,0.7616,0.23499999998603016
RF,lac_split,277,0.9366,1.9756,0.7588,0.25
RF,lac_split,278,0.9296,1.8754,0.7488,0.2339999999385327
RF,lac_split,279,0.9276,2.0634,0.7298,0.23499999998603016
RF,lac_split,280,0.8992,1.4988,0.772,0.23400000005494803
RF,lac_split,281,0.9344,1.9952,0.7248,0.23400000005494803
RF,lac_split,282,0.9634,2.7054,0.7,0.25
RF,lac_split,283,0.8618,1.5868,0.7166,0.25
RF,lac_split,284,0.8966,1.6702,0.7168,0.25
RF,lac_split,285,0.9364,1.801,0.7842,0.25
RF,lac_split,286,0.9604,2.3388,0.7502,0.25
RF,lac_split,287,0.9412,2.1204,0.7598,0.23499999998603016
RF,lac_split,288,0.9548,2.332,0.7462,0.25
RF,lac_split,289,0.9604,2.3092,0.756,0.23400000005494803
RF,lac_split,290,0.9484,2.029,0.758,0.25
RF,lac_split,291,0.9378,2.0442,0.7536,0.23499999998603016
RF,lac_split,292,0.9536,2.1608,0.7334,0.25
RF,lac_split,293,0.948,2.082,0.7532,0.25
RF,lac_split,294,0.9094,1.6476,0.762,0.25
RF,lac_split,295,0.8886,1.5952,0.7426,0.25
RF,lac_split,296,0.9572,2.2638,0.739,0.25
RF,lac_split,297,0.893,1.6106,0.7388,0.25
RF,lac_split,298,0.9286,2.0046,0.7306,0.25
RF,lac_split,299,0.9454,2.0762,0.736,0.26599999994505197
RF,lac_split,300,0.9404,1.9798,0.7538,0.25
RF,lac_split,301,0.9278,1.9514,0.7454,0.25
RF,lac_split,302,0.9054,1.5438,0.7752,0.25
RF,lac_split,303,0.942,1.861,0.78,0.25
RF,lac_split,304,0.9224,1.742,0.7652,0.25
RF,lac_split,305,0.9044,1.598,0.7656,0.25
RF,lac_split,306,0.8732,1.4506,0.7554,0.25
RF,lac_split,307,0.9232,1.6294,0.7782,0.25
RF,lac_split,308,0.8932,1.6378,0.7552,0.25
RF,lac_split,309,0.9522,2.2422,0.725,0.26599999994505197
RF,lac_split,310,0.9286,1.9418,0.762,0.2660000000614673
RF,lac_split,311,0.9168,1.7422,0.7458,0.2809999999590218
RF,lac_split,312,0.934,1.9144,0.7626,0.2970000000204891
RF,lac_split,313,0.8994,1.6112,0.7366,0.26500000001396984
RF,lac_split,314,0.9576,2.0746,0.7666,0.2809999999590218
RF,lac_split,315,0.9518,2.283,0.7344,0.2809999999590218
RF,lac_split,316,0.9244,1.621,0.7778,0.2660000000614673
RF,lac_split,317,0.9092,1.7838,0.743,0.26599999994505197
RF,lac_split,318,0.8812,1.4962,0.753,0.26500000001396984
RF,lac_split,319,0.9344,1.9742,0.7292,0.2660000000614673
RF,lac_split,320,0.9166,1.7546,0.7464,0.26599999994505197
RF,lac_split,321,0.9228,1.7012,0.7756,0.2809999999590218
RF,lac_split,322,0.907,1.5184,0.79,0.28100000007543713
RF,lac_split,323,0.9526,2.119,0.7408,0.2970000000204891
RF,lac_split,324,0.8966,1.709,0.7282,0.28200000000651926
RF,lac_split,325,0.8732,1.439,0.7452,0.29599999997299165
RF,lac_split,326,0.8826,1.4648,0.7596,0.25
RF,lac_split,327,0.9372,1.7162,0.7804,0.2660000000614673
RF,lac_split,328,0.9414,1.854,0.788,0.2809999999590218
RF,lac_split,329,0.919,1.728,0.7628,0.28200000000651926
RF,lac_split,330,0.9146,1.7,0.7572,0.2809999999590218
RF,lac_split,331,0.9498,1.9042,0.782,0.2809999999590218
RF,lac_split,332,0.9234,1.8176,0.7444,0.28200000000651926
RF,lac_split,333,0.9268,1.7028,0.7702,0.28100000007543713
