model,strategy,training_size,coverage,set_size,acc,duration
RF,lac_split,16,0.8552,3.5356,0.3754,0.10999999998603016
RF,lac_split,17,0.8716,3.9778,0.2686,0.10899999993853271
RF,lac_split,18,0.931,4.5446,0.3038,0.10900000005494803
RF,lac_split,19,0.9808,4.9496,0.3456,0.10900000005494803
RF,lac_split,20,0.985,4.8614,0.3492,0.10999999998603016
RF,lac_split,21,0.986,4.8128,0.3722,0.10899999993853271
RF,lac_split,22,0.9512,4.4926,0.3456,0.125
RF,lac_split,23,0.9994,4.988,0.3164,0.125
RF,lac_split,24,0.965,4.6934,0.462,0.10899999993853271
RF,lac_split,25,0.8378,3.627,0.3908,0.0940000000409782
RF,lac_split,26,0.9864,4.6798,0.4722,0.10999999998603016
RF,lac_split,27,0.8868,3.3274,0.4544,0.10900000005494803
RF,lac_split,28,0.9714,4.3118,0.4784,0.10999999998603016
RF,lac_split,29,0.9086,3.768,0.4462,0.10900000005494803
RF,lac_split,30,0.9922,4.8938,0.4276,0.10999999998603016
RF,lac_split,31,0.8832,3.455,0.4766,0.10900000005494803
RF,lac_split,32,0.9664,4.2768,0.487,0.10999999998603016
RF,lac_split,33,0.9116,3.597,0.4516,0.10900000005494803
RF,lac_split,34,0.8942,3.0908,0.486,0.10899999993853271
RF,lac_split,35,0.9594,4.074,0.4946,0.10999999998603016
RF,lac_split,36,0.903,3.3662,0.5044,0.10899999993853271
RF,lac_split,37,0.8268,2.4978,0.5056,0.125
RF,lac_split,38,0.7236,1.8142,0.5046,0.10900000005494803
RF,lac_split,39,0.9572,4.1166,0.5322,0.10899999993853271
RF,lac_split,40,0.9646,3.9874,0.5048,0.125
RF,lac_split,41,0.9514,3.9986,0.455,0.10900000005494803
RF,lac_split,42,0.979,4.4452,0.479,0.125
RF,lac_split,43,0.989,4.2488,0.5576,0.10999999998603016
RF,lac_split,44,0.8232,2.3784,0.5074,0.10999999998603016
RF,lac_split,45,0.9852,4.3466,0.5156,0.10900000005494803
RF,lac_split,46,0.9046,3.2252,0.4756,0.10900000005494803
RF,lac_split,47,0.9916,4.6514,0.526,0.125
RF,lac_split,48,0.978,4.138,0.5542,0.125
RF,lac_split,49,0.738,1.9412,0.4958,0.125
RF,lac_split,50,0.896,2.5876,0.587,0.125
RF,lac_split,51,0.9698,3.7622,0.617,0.125
RF,lac_split,52,0.9964,4.8754,0.4812,0.125
RF,lac_split,53,0.951,3.462,0.5706,0.125
RF,lac_split,54,0.8206,2.3512,0.53,0.125
RF,lac_split,55,0.9792,4.0786,0.5608,0.125
RF,lac_split,56,0.8406,2.4692,0.5252,0.125
RF,lac_split,57,0.999,4.9066,0.5844,0.125
RF,lac_split,58,0.9642,3.7984,0.5734,0.10900000005494803
RF,lac_split,59,0.9916,4.4942,0.59,0.125
RF,lac_split,60,0.9046,2.6848,0.5642,0.14099999994505197
RF,lac_split,61,0.9968,4.5766,0.6044,0.14000000001396984
RF,lac_split,62,0.7776,2.0146,0.5292,0.125
RF,lac_split,63,0.9776,3.917,0.608,0.125
RF,lac_split,64,0.9528,3.2896,0.6146,0.125
RF,lac_split,65,0.9546,3.3252,0.5712,0.125
RF,lac_split,66,0.9644,3.7262,0.567,0.125
RF,lac_split,67,0.791,1.6384,0.6266,0.125
RF,lac_split,68,0.9142,3.231,0.5612,0.125
RF,lac_split,69,0.9868,4.009,0.5392,0.125
RF,lac_split,70,0.9996,4.9416,0.561,0.14000000001396984
RF,lac_split,71,0.9452,3.4268,0.5406,0.125
RF,lac_split,72,0.9138,2.8444,0.5414,0.125
RF,lac_split,73,0.9026,2.4202,0.626,0.125
RF,lac_split,74,0.9814,3.9016,0.597,0.1410000000614673
RF,lac_split,75,0.9232,2.8492,0.587,0.125
RF,lac_split,76,0.9896,4.4048,0.5862,0.14000000001396984
RF,lac_split,77,0.9342,3.2774,0.553,0.125
RF,lac_split,78,0.9944,4.734,0.5726,0.14000000001396984
RF,lac_split,79,0.9778,3.958,0.6054,0.125
RF,lac_split,80,0.9148,2.61,0.6298,0.125
RF,lac_split,81,0.996,4.2884,0.5884,0.125
RF,lac_split,82,0.9654,3.9896,0.5678,0.125
RF,lac_split,83,0.8082,2.0978,0.5644,0.125
RF,lac_split,84,0.86,1.9008,0.6544,0.14099999994505197
RF,lac_split,85,0.9472,3.0922,0.6352,0.1410000000614673
RF,lac_split,86,0.9958,4.6662,0.5906,0.14000000001396984
RF,lac_split,87,0.989,4.102,0.6162,0.14099999994505197
RF,lac_split,88,0.9916,4.1334,0.633,0.14000000001396984
RF,lac_split,89,0.8992,2.5684,0.6226,0.125
RF,lac_split,90,0.9872,3.947,0.6308,0.15600000007543713
RF,lac_split,91,0.8884,2.1944,0.6304,0.14000000001396984
RF,lac_split,92,0.9158,2.4162,0.6304,0.14099999994505197
RF,lac_split,93,0.9848,3.7596,0.6534,0.1410000000614673
RF,lac_split,94,0.9868,3.9268,0.6262,0.14000000001396984
RF,lac_split,95,0.941,2.9366,0.627,0.14099999994505197
RF,lac_split,96,0.9022,2.4326,0.6252,0.14099999994505197
RF,lac_split,97,0.9088,2.5174,0.6436,0.1410000000614673
RF,lac_split,98,0.8412,1.8424,0.64,0.14000000001396984
RF,lac_split,99,0.9662,4.135,0.619,0.14000000001396984
RF,lac_split,100,0.9406,2.814,0.6464,0.14099999994505197
RF,lac_split,101,0.7996,1.6878,0.6298,0.15700000000651926
RF,lac_split,102,0.9406,3.0264,0.616,0.14099999994505197
RF,lac_split,103,0.9486,2.8458,0.6552,0.1410000000614673
RF,lac_split,104,0.7948,1.6912,0.6182,0.1720000000204891
RF,lac_split,105,0.9228,2.4962,0.6636,0.1410000000614673
RF,lac_split,106,0.9304,2.391,0.68,0.1410000000614673
RF,lac_split,107,0.865,2.1826,0.6108,0.15600000007543713
RF,lac_split,108,0.9672,3.1788,0.6726,0.1410000000614673
RF,lac_split,109,0.8222,1.7154,0.6412,0.15700000000651926
RF,lac_split,110,0.7516,1.3336,0.6478,0.15700000000651926
RF,lac_split,111,0.8136,1.636,0.6458,0.15700000000651926
RF,lac_split,112,0.9358,2.7496,0.6388,0.14099999994505197
RF,lac_split,113,0.9826,3.759,0.652,0.15700000000651926
RF,lac_split,114,0.838,2.018,0.6198,0.15700000000651926
RF,lac_split,115,0.9564,3.1706,0.664,0.15700000000651926
RF,lac_split,116,0.9334,2.5096,0.674,0.14099999994505197
RF,lac_split,117,0.9882,4.0236,0.657,0.1559999999590218
RF,lac_split,118,0.8488,1.8454,0.6498,0.14000000001396984
RF,lac_split,119,0.9528,3.1028,0.6004,0.14000000001396984
RF,lac_split,120,0.9178,2.3164,0.6646,0.15600000007543713
RF,lac_split,121,0.9402,2.699,0.666,0.15600000007543713
RF,lac_split,122,0.9834,3.5872,0.6534,0.1410000000614673
RF,lac_split,123,0.9906,3.6908,0.6332,0.15600000007543713
RF,lac_split,124,0.9182,2.1216,0.6998,0.15600000007543713
RF,lac_split,125,0.8686,1.6884,0.6958,0.15700000000651926
RF,lac_split,126,0.931,2.4582,0.6684,0.15700000000651926
RF,lac_split,127,0.9536,2.8474,0.6656,0.1559999999590218
RF,lac_split,128,0.8602,1.8742,0.658,0.1559999999590218
RF,lac_split,129,0.8976,2.1594,0.6682,0.1559999999590218
RF,lac_split,130,0.9692,3.0758,0.6816,0.17099999997299165
RF,lac_split,131,0.9634,3.1148,0.674,0.1720000000204891
RF,lac_split,132,0.9642,3.116,0.6804,0.15600000007543713
RF,lac_split,133,0.9272,2.3432,0.6902,0.15700000000651926
RF,lac_split,134,0.9386,2.6308,0.6848,0.1559999999590218
RF,lac_split,135,0.9442,2.613,0.6582,0.1720000000204891
RF,lac_split,136,0.9302,2.7012,0.637,0.1720000000204891
RF,lac_split,137,0.7864,1.45,0.6594,0.1559999999590218
RF,lac_split,138,0.998,4.4034,0.6708,0.1559999999590218
RF,lac_split,139,0.947,2.412,0.7106,0.1559999999590218
RF,lac_split,140,0.9738,3.4346,0.6726,0.1720000000204891
RF,lac_split,141,0.954,2.593,0.6966,0.15600000007543713
RF,lac_split,142,0.8932,1.9832,0.6766,0.15700000000651926
RF,lac_split,143,0.9416,2.375,0.7122,0.1559999999590218
RF,lac_split,144,0.969,3.2102,0.6608,0.15600000007543713
RF,lac_split,145,0.9656,2.9848,0.6826,0.15700000000651926
RF,lac_split,146,0.9314,2.518,0.6644,0.1720000000204891
RF,lac_split,147,0.8014,1.2784,0.7202,0.1559999999590218
RF,lac_split,148,0.7654,1.1558,0.7216,0.1559999999590218
RF,lac_split,149,0.8986,2.0388,0.6706,0.1720000000204891
RF,lac_split,150,0.9526,2.556,0.6776,0.1720000000204891
RF,lac_split,151,0.9272,2.3154,0.6862,0.1720000000204891
RF,lac_split,152,0.9446,2.7246,0.673,0.17199999990407377
RF,lac_split,153,0.9276,2.684,0.6548,0.1720000000204891
RF,lac_split,154,0.9554,2.7754,0.6426,0.1720000000204891
RF,lac_split,155,0.8924,1.7802,0.7252,0.1720000000204891
RF,lac_split,156,0.9682,2.7482,0.7024,0.1720000000204891
RF,lac_split,157,0.8968,2.1396,0.6668,0.1720000000204891
RF,lac_split,158,0.9286,2.4804,0.678,0.1720000000204891
RF,lac_split,159,0.8552,1.623,0.6958,0.1720000000204891
RF,lac_split,160,0.9826,3.603,0.685,0.1869999999180436
RF,lac_split,161,0.895,2.104,0.6734,0.1720000000204891
RF,lac_split,162,0.9524,2.6542,0.6898,0.18799999996554106
RF,lac_split,163,0.9702,2.9244,0.7082,0.1869999999180436
RF,lac_split,164,0.8742,1.708,0.7,0.18700000003445894
RF,lac_split,165,0.9686,2.853,0.698,0.18700000003445894
RF,lac_split,166,0.9142,2.1214,0.6848,0.17099999997299165
RF,lac_split,167,0.9502,2.414,0.6872,0.1720000000204891
RF,lac_split,168,0.8352,1.384,0.727,0.1720000000204891
RF,lac_split,169,0.9406,2.503,0.6768,0.1869999999180436
RF,lac_split,170,0.975,3.0116,0.6798,0.18700000003445894
RF,lac_split,171,0.8734,1.7332,0.669,0.18700000003445894
RF,lac_split,172,0.9118,1.9334,0.7036,0.17099999997299165
RF,lac_split,173,0.9656,2.9554,0.6896,0.18700000003445894
RF,lac_split,174,0.9406,2.4086,0.6894,0.1720000000204891
RF,lac_split,175,0.9086,2.1516,0.6624,0.1869999999180436
RF,lac_split,176,0.9394,2.7882,0.6602,0.1720000000204891
RF,lac_split,177,0.9248,1.97,0.7236,0.18799999996554106
RF,lac_split,178,0.9564,2.7202,0.6834,0.17199999990407377
RF,lac_split,179,0.9842,3.4556,0.71,0.18799999996554106
RF,lac_split,180,0.9594,2.6014,0.7168,0.1720000000204891
RF,lac_split,181,0.9158,1.938,0.6936,0.18799999996554106
RF,lac_split,182,0.9724,3.3896,0.66,0.1720000000204891
RF,lac_split,183,0.8314,1.4464,0.7112,0.1880000000819564
RF,lac_split,184,0.9344,2.072,0.7134,0.18799999996554106
RF,lac_split,185,0.9636,2.4378,0.7376,0.2029999999795109
RF,lac_split,186,0.9008,1.892,0.706,0.1880000000819564
RF,lac_split,187,0.9288,2.0856,0.7064,0.18799999996554106
RF,lac_split,188,0.903,1.834,0.7088,0.18799999996554106
RF,lac_split,189,0.9586,2.5838,0.7108,0.18700000003445894
RF,lac_split,190,0.9312,2.1358,0.7086,0.18700000003445894
RF,lac_split,191,0.9208,2.1678,0.7088,0.1880000000819564
RF,lac_split,192,0.9572,2.774,0.6892,0.18799999996554106
RF,lac_split,193,0.9714,2.6756,0.7072,0.18700000003445894
RF,lac_split,194,0.9494,2.3996,0.6988,0.1880000000819564
RF,lac_split,195,0.9472,2.2794,0.7336,0.18799999996554106
RF,lac_split,196,0.968,2.7118,0.7132,0.2029999999795109
RF,lac_split,197,0.917,1.8296,0.7372,0.1720000000204891
RF,lac_split,198,0.8452,1.4302,0.7278,0.18700000003445894
RF,lac_split,199,0.8982,1.8378,0.7074,0.1880000000819564
RF,lac_split,200,0.9072,1.9646,0.6932,0.18799999996554106
RF,lac_split,201,0.904,1.9122,0.7116,0.2029999999795109
RF,lac_split,202,0.8744,1.5818,0.7172,0.18700000003445894
RF,lac_split,203,0.9332,2.178,0.7018,0.2029999999795109
RF,lac_split,204,0.9364,2.0396,0.7214,0.20400000002700835
RF,lac_split,205,0.944,2.1878,0.724,0.2029999999795109
RF,lac_split,206,0.9254,1.9774,0.728,0.18799999996554106
RF,lac_split,207,0.9482,2.368,0.7118,0.2029999999795109
RF,lac_split,208,0.9538,2.555,0.6894,0.1880000000819564
RF,lac_split,209,0.9522,2.2764,0.7364,0.2029999999795109
RF,lac_split,210,0.9712,2.6144,0.7324,0.20300000009592623
RF,lac_split,211,0.9178,1.8226,0.7384,0.18799999996554106
RF,lac_split,212,0.8904,1.611,0.73,0.18700000003445894
RF,lac_split,213,0.971,2.8266,0.7384,0.2029999999795109
RF,lac_split,214,0.964,2.322,0.753,0.2029999999795109
RF,lac_split,215,0.8364,1.515,0.713,0.2029999999795109
RF,lac_split,216,0.8752,1.6544,0.716,0.2029999999795109
RF,lac_split,217,0.911,2.0776,0.7094,0.2029999999795109
RF,lac_split,218,0.926,1.8726,0.7552,0.18700000003445894
RF,lac_split,219,0.9116,1.8292,0.7404,0.2190000000409782
RF,lac_split,220,0.9314,2.1038,0.7098,0.2190000000409782
RF,lac_split,221,0.9616,2.5028,0.707,0.2029999999795109
RF,lac_split,222,0.94,2.1538,0.7412,0.2029999999795109
RF,lac_split,223,0.9098,1.9344,0.7268,0.20300000009592623
RF,lac_split,224,0.9148,1.9274,0.7118,0.2029999999795109
RF,lac_split,225,0.8124,1.2676,0.7342,0.20300000009592623
RF,lac_split,226,0.954,2.4872,0.7292,0.2190000000409782
RF,lac_split,227,0.9056,1.7088,0.7226,0.20400000002700835
RF,lac_split,228,0.8816,1.7278,0.7206,0.2029999999795109
RF,lac_split,229,0.904,1.8146,0.7222,0.2029999999795109
RF,lac_split,230,0.9714,2.764,0.7244,0.2029999999795109
RF,lac_split,231,0.9092,1.8952,0.7138,0.2029999999795109
RF,lac_split,232,0.9412,2.2392,0.7022,0.2029999999795109
RF,lac_split,233,0.9502,2.3248,0.734,0.2029999999795109
RF,lac_split,234,0.83,1.3196,0.7364,0.20300000009592623
RF,lac_split,235,0.9738,2.7998,0.7348,0.21899999992456287
RF,lac_split,236,0.9318,1.9598,0.7226,0.21899999992456287
RF,lac_split,237,0.9012,1.7292,0.7232,0.23400000005494803
RF,lac_split,238,0.9772,2.8054,0.7266,0.25
RF,lac_split,239,0.9612,2.7538,0.7132,0.25
RF,lac_split,240,0.8866,1.6686,0.7342,0.26599999994505197
RF,lac_split,241,0.9542,2.3534,0.7574,0.25
RF,lac_split,242,0.9738,2.7534,0.7536,0.23400000005494803
RF,lac_split,243,0.9252,2.2002,0.6988,0.2190000000409782
RF,lac_split,244,0.9226,1.9504,0.7292,0.2190000000409782
RF,lac_split,245,0.95,2.203,0.7394,0.23499999998603016
RF,lac_split,246,0.9226,1.8518,0.738,0.2029999999795109
RF,lac_split,247,0.931,2.0018,0.7238,0.21799999999348074
RF,lac_split,248,0.8494,1.3206,0.7512,0.2190000000409782
RF,lac_split,249,0.8662,1.5978,0.7098,0.21799999999348074
RF,lac_split,250,0.9558,2.4426,0.7118,0.2190000000409782
RF,lac_split,251,0.9386,2.1622,0.7366,0.2190000000409782
RF,lac_split,252,0.9606,2.3308,0.7526,0.2190000000409782
RF,lac_split,253,0.9374,2.1454,0.7324,0.21899999992456287
RF,lac_split,254,0.9294,1.883,0.7572,0.21799999999348074
RF,lac_split,255,0.8432,1.3214,0.7542,0.2190000000409782
RF,lac_split,256,0.904,1.8104,0.7466,0.2190000000409782
RF,lac_split,257,0.8826,1.5188,0.743,0.23499999998603016
RF,lac_split,258,0.8972,1.6868,0.7386,0.2339999999385327
RF,lac_split,259,0.926,1.7316,0.7672,0.23499999998603016
RF,lac_split,260,0.8536,1.4858,0.7196,0.23499999998603016
RF,lac_split,261,0.9542,2.217,0.7578,0.23400000005494803
RF,lac_split,262,0.9686,2.4158,0.7422,0.2660000000614673
RF,lac_split,263,0.943,2.1128,0.7532,0.25
RF,lac_split,264,0.938,2.1908,0.728,0.2339999999385327
RF,lac_split,265,0.9488,2.108,0.7624,0.25
RF,lac_split,266,0.9184,1.9074,0.7376,0.25
RF,lac_split,267,0.9318,1.9442,0.7438,0.23400000005494803
RF,lac_split,268,0.8888,1.6726,0.716,0.2339999999385327
RF,lac_split,269,0.8948,1.476,0.759,0.25
RF,lac_split,270,0.8906,1.608,0.7438,0.2190000000409782
RF,lac_split,271,0.9336,2.1238,0.7308,0.2339999999385327
RF,lac_split,272,0.947,2.0122,0.7562,0.23400000005494803
RF,lac_split,273,0.883,1.467,0.7482,0.23499999998603016
RF,lac_split,274,0.9548,2.4204,0.7188,0.23400000005494803
RF,lac_split,275,0.8164,1.2024,0.7528,0.23499999998603016
RF,lac_split,276,0.9362,1.8612,0.7596,0.25
RF,lac_split,277,0.942,2.1582,0.7284,0.25
RF,lac_split,278,0.9488,2.0778,0.7518,0.25
RF,lac_split,279,0.9002,1.7148,0.735,0.25
RF,lac_split,280,0.9236,1.7896,0.7562,0.25
RF,lac_split,281,0.8894,1.5708,0.735,0.2339999999385327
RF,lac_split,282,0.9228,1.6454,0.7812,0.25
RF,lac_split,283,0.9426,1.9504,0.755,0.28200000000651926
RF,lac_split,284,0.9308,2.0058,0.7464,0.25
RF,lac_split,285,0.8902,1.477,0.7596,0.25
RF,lac_split,286,0.8906,1.7098,0.7184,0.25
RF,lac_split,287,0.9594,2.3164,0.7488,0.25
RF,lac_split,288,0.923,1.8756,0.736,0.25
RF,lac_split,289,0.922,1.7088,0.7736,0.25
RF,lac_split,290,0.937,1.7826,0.7812,0.23400000005494803
RF,lac_split,291,0.8604,1.3124,0.7754,0.26599999994505197
RF,lac_split,292,0.9468,2.0604,0.7588,0.25
RF,lac_split,293,0.9538,2.3644,0.73,0.26599999994505197
RF,lac_split,294,0.9304,1.9334,0.7542,0.26599999994505197
RF,lac_split,295,0.944,1.9018,0.7646,0.25
RF,lac_split,296,0.9196,1.8446,0.7432,0.25
RF,lac_split,297,0.8964,1.5896,0.7462,0.25
RF,lac_split,298,0.9238,1.655,0.7896,0.26500000001396984
RF,lac_split,299,0.9222,1.884,0.7356,0.26500000001396984
RF,lac_split,300,0.877,1.482,0.7394,0.26500000001396984
RF,lac_split,301,0.9182,1.7138,0.7516,0.25
RF,lac_split,302,0.8928,1.5404,0.7604,0.26599999994505197
RF,lac_split,303,0.9496,2.088,0.7652,0.25
RF,lac_split,304,0.8868,1.5128,0.7604,0.25
RF,lac_split,305,0.9114,1.6526,0.7592,0.25
RF,lac_split,306,0.8874,1.5556,0.7576,0.25
RF,lac_split,307,0.9126,1.871,0.7206,0.25
RF,lac_split,308,0.9144,1.6184,0.7708,0.26599999994505197
RF,lac_split,309,0.9372,1.8838,0.785,0.25
RF,lac_split,310,0.8714,1.3732,0.7664,0.26599999994505197
RF,lac_split,311,0.8812,1.4898,0.7568,0.25
RF,lac_split,312,0.9572,2.0454,0.7606,0.26500000001396984
RF,lac_split,313,0.931,1.7252,0.7802,0.25
RF,lac_split,314,0.9102,1.7212,0.7426,0.26500000001396984
RF,lac_split,315,0.9696,2.6496,0.7704,0.25
RF,lac_split,316,0.9006,1.6724,0.7312,0.25
RF,lac_split,317,0.9446,2.125,0.754,0.2660000000614673
RF,lac_split,318,0.9364,1.881,0.7552,0.25
RF,lac_split,319,0.933,1.8332,0.7708,0.25
RF,lac_split,320,0.8804,1.4078,0.767,0.25
RF,lac_split,321,0.9462,2.0906,0.7526,0.2660000000614673
RF,lac_split,322,0.9454,1.943,0.7698,0.2660000000614673
RF,lac_split,323,0.8902,1.5756,0.7408,0.25
RF,lac_split,324,0.8992,1.5216,0.7592,0.2660000000614673
RF,lac_split,325,0.9132,1.6436,0.7702,0.2660000000614673
RF,lac_split,326,0.9508,2.0362,0.75,0.25
RF,lac_split,327,0.9104,1.618,0.753,0.26599999994505197
RF,lac_split,328,0.9588,2.2088,0.7508,0.26599999994505197
RF,lac_split,329,0.895,1.5472,0.7582,0.26500000001396984
RF,lac_split,330,0.8612,1.3982,0.7492,0.26599999994505197
RF,lac_split,331,0.8852,1.5874,0.7536,0.2809999999590218
RF,lac_split,332,0.9572,2.3432,0.7584,0.28200000000651926
RF,lac_split,333,0.9352,1.8768,0.742,0.26500000001396984
RF,lac_split,334,0.8872,1.51,0.7624,0.28200000000651926
RF,lac_split,335,0.943,1.8954,0.771,0.2969999999040738
RF,lac_split,336,0.953,2.0314,0.774,0.28100000007543713
RF,lac_split,337,0.9238,1.767,0.7584,0.2809999999590218
RF,lac_split,338,0.9742,2.7384,0.7558,0.28200000000651926
RF,lac_split,339,0.892,1.5758,0.744,0.2809999999590218
RF,lac_split,340,0.8878,1.4642,0.774,0.26500000001396984
RF,lac_split,341,0.9184,1.5866,0.7924,0.28100000007543713
RF,lac_split,342,0.9316,1.8886,0.7548,0.26599999994505197
RF,lac_split,343,0.9184,1.631,0.787,0.26500000001396984
RF,lac_split,344,0.8956,1.6046,0.754,0.2660000000614673
RF,lac_split,345,0.9064,1.4944,0.7812,0.26599999994505197
RF,lac_split,346,0.915,1.6382,0.7726,0.26500000001396984
RF,lac_split,347,0.8784,1.3288,0.7904,0.26599999994505197
RF,lac_split,348,0.9314,1.8,0.762,0.28100000007543713
RF,lac_split,349,0.9056,1.5522,0.7706,0.2809999999590218
RF,lac_split,350,0.9444,1.8266,0.7846,0.28100000007543713
RF,lac_split,351,0.8886,1.4908,0.772,0.26599999994505197
RF,lac_split,352,0.9364,1.9064,0.7702,0.2809999999590218
RF,lac_split,353,0.8798,1.3676,0.7834,0.26500000001396984
RF,lac_split,354,0.9124,1.5752,0.7722,0.2809999999590218
RF,lac_split,355,0.906,1.6098,0.7662,0.2660000000614673
RF,lac_split,356,0.9178,1.782,0.7632,0.2809999999590218
RF,lac_split,357,0.9022,1.518,0.7698,0.2970000000204891
RF,lac_split,358,0.8962,1.4954,0.7762,0.2809999999590218
RF,lac_split,359,0.8442,1.31,0.7472,0.28200000000651926
RF,lac_split,360,0.9028,1.5758,0.7532,0.2809999999590218
RF,lac_split,361,0.8956,1.4592,0.7756,0.28200000000651926
RF,lac_split,362,0.938,1.8366,0.774,0.28100000007543713
RF,lac_split,363,0.958,2.1004,0.7878,0.2970000000204891
RF,lac_split,364,0.9492,2.096,0.7582,0.2970000000204891
RF,lac_split,365,0.9426,1.849,0.776,0.3130000000819564
RF,lac_split,366,0.8634,1.3128,0.7868,0.2809999999590218
RF,lac_split,367,0.9022,1.4848,0.7824,0.2970000000204891
RF,lac_split,368,0.9476,2.0256,0.7468,0.2970000000204891
RF,lac_split,369,0.9032,1.5664,0.7756,0.2969999999040738
RF,lac_split,370,0.9088,1.5606,0.7684,0.31200000003445894
RF,lac_split,371,0.9696,2.1844,0.7866,0.375
RF,lac_split,372,0.9258,1.7008,0.7756,0.31299999996554106
RF,lac_split,373,0.8946,1.5118,0.7668,0.2970000000204891
RF,lac_split,374,0.8666,1.3218,0.7818,0.2970000000204891
RF,lac_split,375,0.8854,1.4056,0.7734,0.2970000000204891
RF,lac_split,376,0.9458,1.8174,0.8008,0.2969999999040738
RF,lac_split,377,0.8932,1.4106,0.7862,0.31299999996554106
RF,lac_split,378,0.8912,1.4506,0.7692,0.31200000003445894
RF,lac_split,379,0.9384,1.8556,0.7824,0.3279999999795109
