model,strategy,training_size,coverage,set_size,acc,duration
RF,lac_split,16,0.8696,3.6144,0.3108,0.125
RF,lac_split,17,0.906,4.4008,0.2502,0.10899999993853271
RF,lac_split,18,0.973,4.7268,0.2358,0.125
RF,lac_split,19,0.9666,4.7114,0.3868,0.15600000007543713
RF,lac_split,20,0.959,4.3478,0.3906,0.1559999999590218
RF,lac_split,21,0.9316,4.2128,0.3452,0.125
RF,lac_split,22,0.9434,4.105,0.3396,0.14099999994505197
RF,lac_split,23,0.9884,4.8186,0.3738,0.125
RF,lac_split,24,0.9482,4.3328,0.4184,0.125
RF,lac_split,25,0.9974,4.9104,0.3592,0.125
RF,lac_split,26,0.9652,4.0492,0.499,0.125
RF,lac_split,27,0.9878,4.8216,0.4342,0.14000000001396984
RF,lac_split,28,0.8472,3.0302,0.4612,0.125
RF,lac_split,29,0.8538,3.358,0.4506,0.10900000005494803
RF,lac_split,30,0.93,4.2304,0.426,0.125
RF,lac_split,31,0.8524,2.7006,0.489,0.18799999996554106
RF,lac_split,32,0.9762,4.1708,0.479,0.125
RF,lac_split,33,0.9888,4.3892,0.4898,0.125
RF,lac_split,34,0.9126,3.2504,0.5352,0.1720000000204891
RF,lac_split,35,0.9116,3.3532,0.5018,0.10999999998603016
RF,lac_split,36,0.9144,3.957,0.4678,0.14000000001396984
RF,lac_split,37,0.9328,3.637,0.4726,0.1559999999590218
RF,lac_split,38,0.93,3.6626,0.508,0.125
RF,lac_split,39,0.933,3.578,0.5206,0.125
RF,lac_split,40,0.9794,4.5066,0.4802,0.125
RF,lac_split,41,0.8742,3.5652,0.4528,0.125
RF,lac_split,42,0.9018,3.081,0.514,0.125
RF,lac_split,43,0.9618,3.9138,0.5014,0.14000000001396984
RF,lac_split,44,0.8982,2.796,0.5506,0.125
RF,lac_split,45,0.809,2.4654,0.4704,0.125
RF,lac_split,46,0.9252,3.091,0.5562,0.10900000005494803
RF,lac_split,47,0.9966,4.8194,0.5488,0.125
RF,lac_split,48,0.9962,4.641,0.5358,0.125
RF,lac_split,49,0.987,4.5186,0.5122,0.125
RF,lac_split,50,0.6918,1.436,0.5738,0.14000000001396984
RF,lac_split,51,0.965,3.6392,0.5636,0.10999999998603016
RF,lac_split,52,0.999,4.8864,0.5366,0.125
RF,lac_split,53,0.8692,2.3734,0.604,0.14000000001396984
RF,lac_split,54,0.8734,2.6556,0.5354,0.14099999994505197
RF,lac_split,55,0.9226,3.3668,0.5084,0.125
RF,lac_split,56,0.9052,3.2556,0.4464,0.14099999994505197
RF,lac_split,57,0.9156,3.2608,0.5544,0.125
RF,lac_split,58,0.9368,3.347,0.555,0.125
RF,lac_split,59,0.5868,1.1648,0.5272,0.125
RF,lac_split,60,0.9894,4.415,0.535,0.14099999994505197
RF,lac_split,61,0.9982,4.8986,0.5288,0.14099999994505197
RF,lac_split,62,0.9034,2.893,0.5452,0.125
RF,lac_split,63,0.8214,2.245,0.5496,0.125
RF,lac_split,64,0.9528,3.3022,0.5866,0.14099999994505197
RF,lac_split,65,0.9952,4.5774,0.6262,0.125
RF,lac_split,66,0.8154,2.1298,0.5542,0.125
RF,lac_split,67,0.991,4.4794,0.5364,0.125
RF,lac_split,68,0.9976,4.5762,0.6022,0.125
RF,lac_split,69,0.8656,2.3614,0.566,0.125
RF,lac_split,70,0.9854,4.098,0.5804,0.14099999994505197
RF,lac_split,71,0.9348,3.057,0.5936,0.1410000000614673
