model,strategy,training_size,coverage,set_size,acc,duration
RF,lac_split,16,0.9704,4.707,0.295,0.125
RF,lac_split,17,0.966,4.359,0.3884,0.125
RF,lac_split,18,0.9288,4.092,0.3442,0.125
RF,lac_split,19,0.9888,4.902,0.3918,0.125
RF,lac_split,20,0.6562,2.4952,0.3456,0.125
RF,lac_split,21,0.6934,2.305,0.3926,0.10900000005494803
RF,lac_split,22,0.9908,4.821,0.35,0.10999999998603016
RF,lac_split,23,0.977,4.5518,0.4272,0.10900000005494803
RF,lac_split,24,0.9898,4.7868,0.38,0.10999999998603016
RF,lac_split,25,0.9976,4.9394,0.4016,0.125
RF,lac_split,26,0.9738,4.2924,0.4846,0.125
RF,lac_split,27,0.9566,4.5256,0.4142,0.10999999998603016
RF,lac_split,28,0.7938,2.7854,0.4188,0.125
RF,lac_split,29,0.9256,4.2746,0.3674,0.10899999993853271
RF,lac_split,30,1.0,4.9994,0.4148,0.125
RF,lac_split,31,0.5928,1.4802,0.4604,0.10900000005494803
RF,lac_split,32,0.9984,4.9304,0.431,0.125
RF,lac_split,33,0.9778,4.6208,0.4244,0.10999999998603016
RF,lac_split,34,0.9168,3.2426,0.5414,0.125
RF,lac_split,35,0.9232,3.6366,0.4978,0.125
RF,lac_split,36,0.8954,3.0588,0.5024,0.10899999993853271
RF,lac_split,37,0.7478,2.055,0.51,0.125
RF,lac_split,38,0.9674,4.3198,0.4174,0.10900000005494803
RF,lac_split,39,0.8314,2.5778,0.4954,0.10900000005494803
RF,lac_split,40,0.9102,3.186,0.5378,0.125
RF,lac_split,41,0.7988,2.4894,0.49,0.125
RF,lac_split,42,0.961,3.874,0.5214,0.125
RF,lac_split,43,0.9866,4.6852,0.4968,0.125
RF,lac_split,44,0.9692,4.1654,0.528,0.125
RF,lac_split,45,0.9098,2.9982,0.5536,0.125
RF,lac_split,46,0.98,4.3524,0.4874,0.10999999998603016
RF,lac_split,47,0.8982,2.953,0.5432,0.125
RF,lac_split,48,0.9854,4.6828,0.513,0.125
RF,lac_split,49,0.922,3.2668,0.561,0.125
RF,lac_split,50,0.9442,3.593,0.5602,0.125
RF,lac_split,51,0.9908,4.4806,0.5442,0.125
RF,lac_split,52,0.8604,2.5094,0.52,0.14099999994505197
RF,lac_split,53,0.9818,4.538,0.4888,0.14099999994505197
RF,lac_split,54,0.9948,4.6562,0.59,0.1410000000614673
RF,lac_split,55,0.9092,2.9928,0.5218,0.125
RF,lac_split,56,0.9738,3.747,0.5588,0.125
RF,lac_split,57,0.941,3.1452,0.597,0.125
RF,lac_split,58,0.7312,1.7148,0.5448,0.1410000000614673
RF,lac_split,59,0.9482,3.1228,0.5796,0.125
RF,lac_split,60,0.9616,3.673,0.5684,0.14000000001396984
RF,lac_split,61,0.8666,2.4008,0.5596,0.125
