model,strategy,training_size,coverage,set_size,acc,duration
GaussianNB,lac_prefit,100,0.8128,2.21,0.5406,0.0
GaussianNB,lac_prefit,200,0.939,2.944,0.5784,0.0
GaussianNB,lac_prefit,300,0.9768,3.5484,0.6158,0.0
GaussianNB,lac_prefit,400,0.9054,2.33,0.6232,0.0
GaussianNB,lac_prefit,500,0.933,2.5496,0.6264,0.0
GaussianNB,lac_prefit,600,0.964,3.0566,0.6558,0.0
GaussianNB,lac_prefit,700,0.9692,2.969,0.651,0.015000000013969839
GaussianNB,lac_prefit,800,0.9274,2.399,0.6402,0.0
GaussianNB,lac_prefit,900,0.9588,2.7432,0.6486,0.0
GaussianNB,lac_prefit,1000,0.954,2.6326,0.6578,0.01600000000325963
GaussianNB,lac_prefit,1100,0.9658,2.771,0.6736,0.01600000000325963
GaussianNB,lac_prefit,1200,0.9484,2.4066,0.6652,0.015000000013969839
GaussianNB,lac_prefit,1300,0.9392,2.5194,0.6614,0.01600000000325963
GaussianNB,lac_prefit,1400,0.9682,2.9676,0.6642,0.0
GaussianNB,lac_prefit,1500,0.9526,2.5794,0.6678,0.0
GaussianNB,lac_prefit,1600,0.972,2.9226,0.6668,0.0
GaussianNB,lac_prefit,1700,0.9604,2.6006,0.6648,0.0
GaussianNB,lac_prefit,1800,0.9666,2.7932,0.666,0.0
GaussianNB,lac_prefit,1900,0.947,2.4764,0.6752,0.0
GaussianNB,lac_prefit,2000,0.9604,2.5848,0.67,0.0
GaussianNB,lac_prefit,2100,0.9526,2.5582,0.6726,0.015000000013969839
GaussianNB,lac_prefit,2200,0.9544,2.6308,0.6676,0.01600000000325963
GaussianNB,lac_prefit,2300,0.9482,2.4584,0.6684,0.0
GaussianNB,lac_prefit,2400,0.9322,2.2504,0.6668,0.0
GaussianNB,lac_prefit,2500,0.9462,2.39,0.6782,0.015000000013969839
GaussianNB,lac_prefit,2600,0.9536,2.5088,0.6752,0.0
GaussianNB,lac_prefit,2700,0.9548,2.5422,0.6704,0.0
GaussianNB,lac_prefit,2800,0.9536,2.5346,0.671,0.0
GaussianNB,lac_prefit,2900,0.9494,2.4932,0.671,0.0
GaussianNB,lac_prefit,3000,0.9608,2.5638,0.6744,0.0
GaussianNB,lac_prefit,3100,0.9626,2.6324,0.6706,0.0
GaussianNB,lac_prefit,3200,0.947,2.3944,0.678,0.01600000000325963
GaussianNB,lac_prefit,3300,0.9528,2.4718,0.6782,0.01600000000325963
GaussianNB,lac_prefit,3400,0.943,2.349,0.674,0.015000000013969839
GaussianNB,lac_prefit,3500,0.955,2.478,0.6796,0.01600000000325963
GaussianNB,lac_prefit,3600,0.9516,2.4172,0.68,0.0
GaussianNB,lac_prefit,3700,0.9644,2.6944,0.6726,0.01600000000325963
GaussianNB,lac_prefit,3800,0.944,2.3358,0.6772,0.01600000000325963
GaussianNB,lac_prefit,3900,0.9624,2.6182,0.6784,0.015000000013969839
GaussianNB,lac_prefit,4000,0.9528,2.4668,0.6742,0.0
GaussianNB,lac_prefit,4100,0.949,2.424,0.678,0.01600000000325963
GaussianNB,lac_prefit,4200,0.9542,2.4934,0.678,0.015000000013969839
GaussianNB,lac_prefit,4300,0.9586,2.6006,0.6738,0.01600000000325963
GaussianNB,lac_prefit,4400,0.958,2.5584,0.677,0.014999999955762178
GaussianNB,lac_prefit,4500,0.957,2.5288,0.6778,0.01600000000325963
GaussianNB,lac_prefit,4600,0.961,2.5744,0.674,0.01600000000325963
GaussianNB,lac_prefit,4700,0.9566,2.5158,0.6758,0.015000000013969839
GaussianNB,lac_prefit,4800,0.962,2.6064,0.676,0.01600000000325963
GaussianNB,lac_prefit,4900,0.9484,2.3862,0.676,0.01600000000325963
GaussianNB,lac_cv+_mean,100,0.9916,4.2214,0.5538,0.014999999955762178
GaussianNB,lac_cv+_mean,200,0.9738,3.4592,0.6124,0.01600000000325963
GaussianNB,lac_cv+_mean,300,0.9594,2.9484,0.6164,0.01600000000325963
GaussianNB,lac_cv+_mean,400,0.9582,2.914,0.6326,0.015000000013969839
GaussianNB,lac_cv+_mean,500,0.9566,2.752,0.659,0.0
GaussianNB,lac_cv+_mean,600,0.9698,2.8676,0.6518,0.0
GaussianNB,lac_cv+_mean,700,0.9656,2.7396,0.6626,0.0
GaussianNB,lac_cv+_mean,800,0.9546,2.6936,0.6482,0.015000000013969839
GaussianNB,lac_cv+_mean,900,0.9496,2.5482,0.6582,0.014999999955762178
GaussianNB,lac_cv+_mean,1000,0.9558,2.6076,0.6572,0.01600000000325963
GaussianNB,lac_cv+_mean,1100,0.9664,2.7486,0.6698,0.0
GaussianNB,lac_cv+_mean,1200,0.969,2.8128,0.6626,0.015000000013969839
GaussianNB,lac_cv+_mean,1300,0.9538,2.6032,0.674,0.014999999955762178
GaussianNB,lac_cv+_mean,1400,0.957,2.6696,0.664,0.01600000000325963
GaussianNB,lac_cv+_mean,1500,0.9612,2.6546,0.6744,0.03200000000651926
