model,strategy,training_size,coverage,set_size,acc,duration
SVM,aps_score_jackknife+_crossval,100,0.9708,3.0732,0.7522,0.5150000000139698
SVM,aps_score_jackknife+_crossval,200,0.9838,2.3478,0.8278,1.2339999999967404
SVM,aps_score_jackknife+_crossval,300,0.9666,1.8886,0.8622,2.0
SVM,aps_score_jackknife+_crossval,400,0.9578,1.7446,0.8668,2.812000000005355
SVM,aps_score_jackknife+_crossval,500,0.9644,1.7494,0.8798,4.078000000008615
SVM,aps_score_jackknife+_crossval,600,0.9548,1.5392,0.8928,5.282000000006519
SVM,aps_score_jackknife+_crossval,700,0.958,1.5038,0.904,6.812999999994645
SVM,aps_score_jackknife+_crossval,800,0.9608,1.5284,0.9066,8.172000000020489
SVM,aps_score_jackknife+_crossval,900,0.954,1.4514,0.9108,9.921000000002095
SVM,aps_score_jackknife+_crossval,1000,0.9524,1.4124,0.9116,11.25
SVM,aps_score_jackknife+_crossval,1100,0.9606,1.4408,0.9152,13.421999999991385
SVM,aps_score_jackknife+_crossval,1200,0.961,1.3974,0.919,15.625
SVM,aps_score_jackknife+_crossval,1300,0.954,1.3596,0.9198,17.328000000008615
SVM,aps_score_jackknife+_crossval,1400,0.9568,1.353,0.927,20.14000000001397
SVM,aps_score_jackknife+_crossval,1500,0.9588,1.3498,0.9252,21.125
SVM,aps_score_jackknife+_crossval,1600,0.9578,1.3188,0.9284,22.98399999999674
SVM,aps_score_jackknife+_crossval,1700,0.9594,1.3148,0.9294,26.26500000001397
SVM,aps_score_jackknife+_crossval,1800,0.957,1.2924,0.9318,28.375
SVM,aps_score_jackknife+_crossval,1900,0.9552,1.2904,0.9344,30.67200000002049
SVM,aps_score_jackknife+_crossval,2000,0.9596,1.2894,0.9366,34.03200000000652
SVM,aps_score_jackknife+_crossval,2100,0.9578,1.2962,0.9346,35.421000000002095
SVM,aps_score_jackknife+_crossval,2200,0.9604,1.2906,0.938,38.375
SVM,aps_score_jackknife+_crossval,2300,0.958,1.286,0.9356,39.76500000001397
SVM,aps_score_jackknife+_crossval,2400,0.9584,1.2646,0.9384,43.796999999991385
SVM,aps_score_jackknife+_crossval,2500,0.956,1.2278,0.9418,46.171999999991385
SVM,aps_score_jackknife+_crossval,2600,0.9534,1.238,0.9402,49.969000000011874
SVM,aps_score_jackknife+_crossval,2700,0.9556,1.2406,0.9392,52.76600000000326
SVM,aps_score_jackknife+_crossval,2800,0.96,1.2494,0.941,54.125
SVM,aps_score_jackknife+_crossval,2900,0.9588,1.2338,0.9436,60.54700000002049
SVM,aps_score_jackknife+_crossval,3000,0.9576,1.2236,0.9436,61.75
SVM,aps_score_jackknife+_crossval,3100,0.956,1.2162,0.946,65.31200000000536
SVM,aps_score_jackknife+_crossval,3200,0.9602,1.225,0.9482,68.18700000000536
SVM,aps_score_jackknife+_crossval,3300,0.9594,1.2188,0.9476,73.04699999999139
SVM,aps_score_jackknife+_crossval,3400,0.958,1.2096,0.9452,77.39100000000326
SVM,aps_score_jackknife+_crossval,3500,0.9568,1.1936,0.9472,79.13999999998487
SVM,aps_score_jackknife+_crossval,3600,0.9566,1.1954,0.9498,98.17200000002049
SVM,aps_score_jackknife+_crossval,3700,0.956,1.1992,0.949,109.73499999998603
SVM,aps_score_jackknife+_crossval,3800,0.9552,1.195,0.9492,128.75
SVM,aps_score_jackknife+_crossval,3900,0.9572,1.1948,0.9524,123.0
SVM,aps_score_jackknife+_crossval,4000,0.9606,1.1906,0.9518,130.93799999999464
SVM,aps_score_jackknife+_crossval,4100,0.9564,1.1742,0.951,125.125
SVM,aps_score_jackknife+_crossval,4200,0.9562,1.1788,0.9538,133.53100000001723
SVM,aps_score_jackknife+_crossval,4300,0.9544,1.1854,0.9518,129.76500000001397
SVM,aps_score_jackknife+_crossval,4400,0.957,1.1784,0.9544,138.84400000001187
SVM,aps_score_jackknife+_crossval,4500,0.9568,1.183,0.9524,145.28099999998813
SVM,aps_score_jackknife+_crossval,4600,0.9556,1.1694,0.9528,123.875
SVM,aps_score_jackknife+_crossval,4700,0.955,1.1684,0.9536,126.96900000001187
SVM,aps_score_jackknife+_crossval,4800,0.9576,1.1668,0.9554,130.48399999999674
SVM,aps_score_jackknife+_crossval,4900,0.9562,1.1646,0.9558,130.53099999998813
