model,strategy,training_size,coverage,set_size,acc,duration
GaussianNB,lac_split,100,0.9954,4.5782,0.6512,0.0
GaussianNB,lac_split,200,0.9798,3.157,0.7096,0.0
GaussianNB,lac_split,300,0.9376,2.2024,0.7152,0.0
GaussianNB,lac_split,400,0.9718,2.7764,0.7204,0.0
GaussianNB,lac_split,500,0.9752,2.787,0.7226,0.015999999945051968
GaussianNB,lac_split,600,0.9552,2.2838,0.7356,0.0
GaussianNB,lac_split,700,0.9572,2.2494,0.741,0.015000000013969839
GaussianNB,lac_split,800,0.9696,2.4776,0.7476,0.0
GaussianNB,lac_split,900,0.968,2.4466,0.7444,0.0
GaussianNB,lac_split,1000,0.9706,2.4962,0.739,0.01600000006146729
GaussianNB,lac_split,1100,0.9482,2.0816,0.741,0.0
GaussianNB,lac_split,1200,0.9576,2.223,0.7482,0.0
GaussianNB,lac_split,1300,0.9668,2.4044,0.7424,0.015000000013969839
GaussianNB,lac_split,1400,0.9828,2.7494,0.7368,0.0
GaussianNB,lac_split,1500,0.9572,2.1852,0.7428,0.0
GaussianNB,lac_split,1600,0.9614,2.2694,0.7378,0.0
GaussianNB,lac_split,1700,0.941,1.9408,0.7448,0.0
GaussianNB,lac_split,1800,0.9698,2.4714,0.742,0.015999999945051968
GaussianNB,lac_split,1900,0.9462,2.0324,0.7414,0.015000000013969839
GaussianNB,lac_split,2000,0.9706,2.4282,0.742,0.0
GaussianNB,lac_split,2100,0.9504,2.0814,0.745,0.0
GaussianNB,lac_split,2200,0.9302,1.854,0.7434,0.015000000013969839
GaussianNB,lac_split,2300,0.9658,2.312,0.743,0.0
GaussianNB,lac_split,2400,0.9654,2.3292,0.7444,0.0
GaussianNB,lac_split,2500,0.9632,2.2682,0.7448,0.0
GaussianNB,lac_split,2600,0.9684,2.3862,0.7462,0.0
GaussianNB,lac_split,2700,0.9496,2.0632,0.7416,0.0
GaussianNB,lac_split,2800,0.9504,2.0624,0.7458,0.0
GaussianNB,lac_split,2900,0.9602,2.2196,0.747,0.01600000006146729
GaussianNB,lac_split,3000,0.9716,2.4158,0.7464,0.0
GaussianNB,lac_split,3100,0.9596,2.2002,0.7454,0.0
GaussianNB,lac_split,3200,0.9618,2.2236,0.7486,0.0
GaussianNB,lac_split,3300,0.9584,2.1888,0.7478,0.0
GaussianNB,lac_split,3400,0.961,2.1942,0.75,0.0
GaussianNB,lac_split,3500,0.9612,2.222,0.7458,0.015000000013969839
GaussianNB,lac_split,3600,0.9628,2.2078,0.7462,0.0
GaussianNB,lac_split,3700,0.9614,2.2012,0.7484,0.01600000006146729
GaussianNB,lac_split,3800,0.964,2.2662,0.7456,0.0
GaussianNB,lac_split,3900,0.957,2.1524,0.7492,0.0
GaussianNB,lac_split,4000,0.9616,2.1944,0.7482,0.015000000013969839
GaussianNB,lac_split,4100,0.9634,2.2318,0.7472,0.0
GaussianNB,lac_split,4200,0.9528,2.0762,0.7494,0.0
GaussianNB,lac_split,4300,0.951,2.0542,0.7462,0.0
GaussianNB,lac_split,4400,0.9668,2.3152,0.7478,0.0
GaussianNB,lac_split,4500,0.9566,2.1174,0.7484,0.015000000013969839
GaussianNB,lac_split,4600,0.9612,2.2126,0.7494,0.0
GaussianNB,lac_split,4700,0.9592,2.1944,0.746,0.0
GaussianNB,lac_split,4800,0.9528,2.081,0.7516,0.015000000013969839
GaussianNB,lac_split,4900,0.9616,2.231,0.7474,0.015999999945051968
GaussianNB,lac_cv+_mean,100,0.9884,3.9032,0.6782,0.0
GaussianNB,lac_cv+_mean,200,0.9558,2.439,0.7162,0.0
GaussianNB,lac_cv+_mean,300,0.9694,2.5868,0.7232,0.015999999945051968
GaussianNB,lac_cv+_mean,400,0.98,2.8016,0.7282,0.0
GaussianNB,lac_cv+_mean,500,0.9592,2.325,0.7342,0.0
GaussianNB,lac_cv+_mean,600,0.9588,2.2502,0.741,0.015000000013969839
