model,strategy,training_size,coverage,set_size,acc,duration
GaussianNB,lac_split,100,0.9062,2.4426,0.6328,0.01600000000325963
GaussianNB,lac_split,200,0.9672,2.8106,0.6856,0.0
GaussianNB,lac_split,300,0.9712,2.5526,0.7164,0.0
GaussianNB,lac_split,400,0.919,1.9288,0.7026,0.0
GaussianNB,lac_split,500,0.9636,2.5542,0.6974,0.0
GaussianNB,lac_split,600,0.9316,2.0042,0.707,0.0
GaussianNB,lac_split,700,0.9682,2.4792,0.721,0.0
GaussianNB,lac_split,800,0.9594,2.2524,0.7234,0.0
GaussianNB,lac_split,900,0.9702,2.3908,0.7368,0.0
GaussianNB,lac_split,1000,0.9408,1.9972,0.7376,0.0
GaussianNB,lac_split,1100,0.9314,1.9166,0.7288,0.0
GaussianNB,lac_split,1200,0.9502,2.1408,0.7176,0.0
GaussianNB,lac_split,1300,0.9328,1.866,0.7336,0.01600000000325963
GaussianNB,lac_split,1400,0.963,2.2536,0.7386,0.0
GaussianNB,lac_split,1500,0.9342,1.9426,0.7326,0.015000000013969839
GaussianNB,lac_split,1600,0.9482,2.0762,0.7264,0.0159999999741558
GaussianNB,lac_split,1700,0.9488,2.088,0.7274,0.0
GaussianNB,lac_split,1800,0.9686,2.2558,0.7464,0.0
GaussianNB,lac_split,1900,0.9306,1.9178,0.7302,0.0
GaussianNB,lac_split,2000,0.9518,2.139,0.731,0.0
GaussianNB,lac_split,2100,0.9488,2.0828,0.73,0.0
GaussianNB,lac_split,2200,0.9606,2.2108,0.7344,0.01600000000325963
GaussianNB,lac_split,2300,0.9558,2.1396,0.7416,0.015000000013969839
GaussianNB,lac_split,2400,0.9348,1.872,0.7432,0.0159999999741558
GaussianNB,lac_split,2500,0.9482,2.0422,0.7378,0.0
GaussianNB,lac_split,2600,0.9398,1.9042,0.7444,0.0
GaussianNB,lac_split,2700,0.9376,1.9188,0.7402,0.01600000000325963
GaussianNB,lac_split,2800,0.9354,1.9058,0.746,0.01600000000325963
GaussianNB,lac_split,2900,0.9404,1.9114,0.7428,0.0
GaussianNB,lac_split,3000,0.9394,1.9308,0.7372,0.0
GaussianNB,lac_split,3100,0.9586,2.1636,0.7366,0.015000000013969839
GaussianNB,lac_split,3200,0.957,2.1506,0.7368,0.0159999999741558
GaussianNB,lac_split,3300,0.9598,2.1654,0.735,0.0
GaussianNB,lac_split,3400,0.9608,2.186,0.743,0.0
GaussianNB,lac_split,3500,0.9408,1.976,0.738,0.03200000000651926
GaussianNB,lac_split,3600,0.9456,2.0106,0.739,0.0
GaussianNB,lac_split,3700,0.9498,2.0742,0.7366,0.0
GaussianNB,lac_split,3800,0.9478,2.0228,0.7354,0.0
