model,strategy,training_size,coverage,set_size,acc,duration
GaussianNB,lac_split,100,0.9834,4.0792,0.6072,0.014999999955762178
GaussianNB,lac_split,200,0.9664,3.3462,0.6636,0.0
GaussianNB,lac_split,300,0.9646,3.1484,0.6766,0.01600000000325963
GaussianNB,lac_split,400,0.9786,3.5872,0.6732,0.0
GaussianNB,lac_split,500,0.938,2.3476,0.708,0.01600000000325963
GaussianNB,lac_split,600,0.971,3.158,0.692,0.0
GaussianNB,lac_split,700,0.9578,2.8794,0.6978,0.0
GaussianNB,lac_split,800,0.947,2.447,0.7048,0.0
GaussianNB,lac_split,900,0.9686,2.9362,0.7128,0.0
GaussianNB,lac_split,1000,0.9596,2.7148,0.7164,0.0
GaussianNB,lac_split,1100,0.9598,2.881,0.7036,0.01600000000325963
GaussianNB,lac_split,1200,0.9528,2.5936,0.7144,0.0
GaussianNB,lac_split,1300,0.9618,2.9222,0.7064,0.0
GaussianNB,lac_split,1400,0.9458,2.5164,0.7098,0.015000000013969839
GaussianNB,lac_split,1500,0.9446,2.4594,0.7158,0.0
GaussianNB,lac_split,1600,0.949,2.558,0.7048,0.01600000000325963
GaussianNB,lac_split,1700,0.9524,2.6588,0.7154,0.0
GaussianNB,lac_split,1800,0.97,2.982,0.7072,0.0
GaussianNB,lac_split,1900,0.941,2.3532,0.7156,0.0
GaussianNB,lac_split,2000,0.9458,2.5652,0.7084,0.01600000000325963
GaussianNB,lac_split,2100,0.9452,2.5236,0.7028,0.014999999955762178
GaussianNB,lac_split,2200,0.9596,2.7404,0.7186,0.0
GaussianNB,lac_split,2300,0.9404,2.391,0.7188,0.0
GaussianNB,lac_split,2400,0.9306,2.246,0.7192,0.01600000000325963
GaussianNB,lac_split,2500,0.9522,2.655,0.7062,0.015000000013969839
GaussianNB,lac_split,2600,0.9436,2.468,0.7142,0.0
GaussianNB,lac_split,2700,0.9578,2.7586,0.7118,0.0
GaussianNB,lac_split,2800,0.9604,2.8368,0.7162,0.0
GaussianNB,lac_split,2900,0.94,2.3778,0.7156,0.0
GaussianNB,lac_split,3000,0.9642,2.8468,0.7218,0.0
GaussianNB,lac_split,3100,0.9556,2.7274,0.717,0.030999999959021807
GaussianNB,lac_split,3200,0.9544,2.6844,0.7182,0.0
GaussianNB,lac_split,3300,0.9586,2.7508,0.7144,0.0
GaussianNB,lac_split,3400,0.947,2.5614,0.7172,0.0
GaussianNB,lac_split,3500,0.9362,2.3056,0.7172,0.0
GaussianNB,lac_split,3600,0.9542,2.6738,0.7108,0.0
GaussianNB,lac_split,3700,0.9436,2.501,0.7148,0.0
GaussianNB,lac_split,3800,0.9452,2.4162,0.7168,0.015000000013969839
GaussianNB,lac_split,3900,0.9518,2.62,0.7146,0.01600000000325963
GaussianNB,lac_split,4000,0.9534,2.6632,0.7132,0.0
GaussianNB,lac_split,4100,0.9488,2.5782,0.7124,0.0
GaussianNB,lac_split,4200,0.9488,2.5332,0.7196,0.01600000000325963
GaussianNB,lac_split,4300,0.9444,2.4192,0.7158,0.0
GaussianNB,lac_split,4400,0.9444,2.4464,0.7164,0.0
GaussianNB,lac_split,4500,0.9522,2.6376,0.7142,0.015000000013969839
GaussianNB,lac_split,4600,0.9482,2.5464,0.716,0.01600000000325963
GaussianNB,lac_split,4700,0.9558,2.7028,0.7152,0.0
GaussianNB,lac_split,4800,0.941,2.3892,0.7172,0.0
GaussianNB,lac_split,4900,0.9448,2.468,0.7156,0.0
GaussianNB,lac_cv+_mean,100,0.9772,3.797,0.659,0.014999999955762178
GaussianNB,lac_cv+_mean,200,0.9872,3.5584,0.6704,0.01600000000325963
GaussianNB,lac_cv+_mean,300,0.9596,2.8264,0.683,0.0
GaussianNB,lac_cv+_mean,400,0.9688,3.0418,0.702,0.01600000000325963
GaussianNB,lac_cv+_mean,500,0.9658,2.9748,0.6968,0.01600000000325963
GaussianNB,lac_cv+_mean,600,0.9648,2.939,0.6984,0.01600000000325963
GaussianNB,lac_cv+_mean,700,0.9622,2.7384,0.7148,0.0
GaussianNB,lac_cv+_mean,800,0.9468,2.534,0.7064,0.01600000000325963
GaussianNB,lac_cv+_mean,900,0.9492,2.5442,0.712,0.015000000013969839
GaussianNB,lac_cv+_mean,1000,0.9486,2.599,0.713,0.0
GaussianNB,lac_cv+_mean,1100,0.9614,2.7198,0.72,0.0
GaussianNB,lac_cv+_mean,1200,0.9524,2.6538,0.7084,0.015000000013969839
GaussianNB,lac_cv+_mean,1300,0.9522,2.6978,0.7074,0.01600000000325963
GaussianNB,lac_cv+_mean,1400,0.9536,2.7272,0.7128,0.01600000000325963
GaussianNB,lac_cv+_mean,1500,0.949,2.5378,0.7146,0.01600000000325963
GaussianNB,lac_cv+_mean,1600,0.9438,2.459,0.7146,0.015000000013969839
GaussianNB,lac_cv+_mean,1700,0.9532,2.5968,0.7214,0.01600000000325963
GaussianNB,lac_cv+_mean,1800,0.9506,2.5932,0.7116,0.01600000000325963
GaussianNB,lac_cv+_mean,1900,0.9452,2.5092,0.7152,0.03200000000651926
GaussianNB,lac_cv+_mean,2000,0.949,2.5318,0.7128,0.01600000000325963
GaussianNB,lac_cv+_mean,2100,0.941,2.3732,0.718,0.031000000017229468
GaussianNB,lac_cv+_mean,2200,0.9554,2.653,0.7168,0.01600000000325963
GaussianNB,lac_cv+_mean,2300,0.9506,2.5148,0.7166,0.015000000013969839
GaussianNB,lac_cv+_mean,2400,0.9478,2.5178,0.719,0.03200000000651926
GaussianNB,lac_cv+_mean,2500,0.9552,2.6712,0.7116,0.01600000000325963
GaussianNB,lac_cv+_mean,2600,0.9484,2.506,0.723,0.014999999955762178
GaussianNB,lac_cv+_mean,2700,0.9448,2.3886,0.7168,0.01600000000325963
GaussianNB,lac_cv+_mean,2800,0.9516,2.6122,0.7152,0.01600000000325963
GaussianNB,lac_cv+_mean,2900,0.9518,2.592,0.7168,0.015000000013969839
GaussianNB,lac_cv+_mean,3000,0.9522,2.6064,0.7134,0.014999999955762178
GaussianNB,lac_cv+_mean,3100,0.9498,2.5602,0.715,0.031000000017229468
GaussianNB,lac_cv+_mean,3200,0.948,2.5624,0.7148,0.01600000000325963
GaussianNB,lac_cv+_mean,3300,0.9462,2.5048,0.7186,0.01600000000325963
GaussianNB,lac_cv+_mean,3400,0.9516,2.592,0.7154,0.01600000000325963
GaussianNB,lac_cv+_mean,3500,0.9514,2.5522,0.7154,0.031000000017229468
GaussianNB,lac_cv+_mean,3600,0.948,2.5532,0.7164,0.015000000013969839
GaussianNB,lac_cv+_mean,3700,0.9468,2.5006,0.7186,0.014999999955762178
GaussianNB,lac_cv+_mean,3800,0.95,2.5406,0.7152,0.01600000000325963
GaussianNB,lac_cv+_mean,3900,0.9476,2.5276,0.7158,0.03200000000651926
GaussianNB,lac_cv+_mean,4000,0.9474,2.4978,0.7118,0.01600000000325963
GaussianNB,lac_cv+_mean,4100,0.9484,2.5336,0.7158,0.01600000000325963
GaussianNB,lac_cv+_mean,4200,0.9516,2.576,0.716,0.015000000013969839
GaussianNB,lac_cv+_mean,4300,0.9476,2.4944,0.7162,0.01600000000325963
GaussianNB,lac_cv+_mean,4400,0.951,2.5782,0.7166,0.030999999959021807
GaussianNB,lac_cv+_mean,4500,0.9502,2.5792,0.7162,0.01600000000325963
GaussianNB,lac_cv+_mean,4600,0.947,2.5064,0.7186,0.03200000000651926
GaussianNB,lac_cv+_mean,4700,0.947,2.5066,0.7152,0.031000000017229468
GaussianNB,lac_cv+_mean,4800,0.9504,2.5734,0.7168,0.01600000000325963
GaussianNB,lac_cv+_mean,4900,0.9484,2.5312,0.7168,0.031000000017229468
GaussianNB,lac_cv+_crossval,100,0.987,4.26,0.627,0.015000000013969839
GaussianNB,lac_cv+_crossval,200,0.9454,2.6308,0.6852,0.01600000000325963
GaussianNB,lac_cv+_crossval,300,0.9642,3.0896,0.681,0.01600000000325963
GaussianNB,lac_cv+_crossval,400,0.9606,2.795,0.7076,0.0
GaussianNB,lac_cv+_crossval,500,0.9484,2.5906,0.705,0.015000000013969839
GaussianNB,lac_cv+_crossval,600,0.9538,2.7258,0.692,0.014999999955762178
GaussianNB,lac_cv+_crossval,700,0.9528,2.6538,0.7056,0.015000000013969839
GaussianNB,lac_cv+_crossval,800,0.956,2.7578,0.7008,0.01600000000325963
GaussianNB,lac_cv+_crossval,900,0.9518,2.621,0.6998,0.014999999955762178
GaussianNB,lac_cv+_crossval,1000,0.9508,2.6502,0.7108,0.01600000000325963
GaussianNB,lac_cv+_crossval,1100,0.9592,2.7516,0.7146,0.0
GaussianNB,lac_cv+_crossval,1200,0.9498,2.6094,0.7072,0.01600000000325963
GaussianNB,lac_cv+_crossval,1300,0.9556,2.629,0.718,0.01600000000325963
GaussianNB,lac_cv+_crossval,1400,0.9524,2.5996,0.7114,0.014999999955762178
GaussianNB,lac_cv+_crossval,1500,0.9526,2.6444,0.7086,0.01600000000325963
GaussianNB,lac_cv+_crossval,1600,0.9498,2.5694,0.7186,0.01600000000325963
GaussianNB,lac_cv+_crossval,1700,0.9494,2.5968,0.7146,0.03200000000651926
GaussianNB,lac_cv+_crossval,1800,0.9496,2.591,0.717,0.015000000013969839
GaussianNB,lac_cv+_crossval,1900,0.9524,2.568,0.7118,0.014999999955762178
GaussianNB,lac_cv+_crossval,2000,0.9484,2.4824,0.7184,0.015000000013969839
GaussianNB,lac_cv+_crossval,2100,0.9464,2.4612,0.7144,0.01600000000325963
GaussianNB,lac_cv+_crossval,2200,0.9482,2.5926,0.7084,0.015000000013969839
GaussianNB,lac_cv+_crossval,2300,0.949,2.5666,0.714,0.01600000000325963
GaussianNB,lac_cv+_crossval,2400,0.944,2.5104,0.7084,0.015000000013969839
GaussianNB,lac_cv+_crossval,2500,0.948,2.522,0.7216,0.015000000013969839
GaussianNB,lac_cv+_crossval,2600,0.948,2.4922,0.7124,0.015000000013969839
GaussianNB,lac_cv+_crossval,2700,0.9454,2.4674,0.7196,0.015000000013969839
GaussianNB,lac_cv+_crossval,2800,0.944,2.465,0.7144,0.01600000000325963
GaussianNB,lac_cv+_crossval,2900,0.9514,2.6302,0.7144,0.015000000013969839
GaussianNB,lac_cv+_crossval,3000,0.9506,2.5548,0.7172,0.03200000000651926
GaussianNB,lac_cv+_crossval,3100,0.946,2.4748,0.7144,0.01600000000325963
GaussianNB,lac_cv+_crossval,3200,0.95,2.565,0.714,0.031000000017229468
GaussianNB,lac_cv+_crossval,3300,0.9498,2.533,0.7184,0.03200000000651926
GaussianNB,lac_cv+_crossval,3400,0.9478,2.53,0.7194,0.03200000000651926
GaussianNB,lac_cv+_crossval,3500,0.9454,2.4618,0.715,0.030999999959021807
GaussianNB,lac_cv+_crossval,3600,0.9462,2.492,0.7136,0.031000000017229468
GaussianNB,lac_cv+_crossval,3700,0.9458,2.4598,0.716,0.031000000017229468
GaussianNB,lac_cv+_crossval,3800,0.9476,2.5128,0.7176,0.030999999959021807
GaussianNB,lac_cv+_crossval,3900,0.9526,2.555,0.7144,0.01600000000325963
GaussianNB,lac_cv+_crossval,4000,0.9478,2.5624,0.715,0.030999999959021807
GaussianNB,lac_cv+_crossval,4100,0.9512,2.5684,0.7156,0.015000000013969839
GaussianNB,lac_cv+_crossval,4200,0.9484,2.552,0.7148,0.031000000017229468
GaussianNB,lac_cv+_crossval,4300,0.9468,2.4902,0.7174,0.031000000017229468
GaussianNB,lac_cv+_crossval,4400,0.9484,2.5504,0.7152,0.031000000017229468
GaussianNB,lac_cv+_crossval,4500,0.9492,2.537,0.718,0.01600000000325963
GaussianNB,lac_cv+_crossval,4600,0.9468,2.5286,0.7152,0.031000000017229468
GaussianNB,lac_cv+_crossval,4700,0.948,2.5396,0.7146,0.030999999959021807
GaussianNB,lac_cv+_crossval,4800,0.949,2.5444,0.7172,0.031000000017229468
GaussianNB,lac_cv+_crossval,4900,0.9488,2.5412,0.717,0.030999999959021807
