model,strategy,training_size,coverage,set_size,acc,duration
GaussianNB,lac_split,16,1.0,5.0,0.2886,0.01600000006146729
GaussianNB,lac_split,17,1.0,5.0,0.2002,0.0
GaussianNB,lac_split,18,1.0,5.0,0.2048,0.015999999945051968
GaussianNB,lac_split,19,1.0,5.0,0.1886,0.0
GaussianNB,lac_split,20,1.0,5.0,0.3168,0.0
GaussianNB,lac_split,21,1.0,5.0,0.2716,0.0
GaussianNB,lac_split,22,1.0,5.0,0.2322,0.0
GaussianNB,lac_split,23,1.0,5.0,0.234,0.0
GaussianNB,lac_split,24,1.0,5.0,0.3228,0.0
GaussianNB,lac_split,25,1.0,5.0,0.24,0.015000000013969839
GaussianNB,lac_split,26,1.0,5.0,0.3668,0.0
GaussianNB,lac_split,27,1.0,5.0,0.3086,0.0
GaussianNB,lac_split,28,1.0,5.0,0.4016,0.015000000013969839
GaussianNB,lac_split,29,1.0,5.0,0.3854,0.01600000006146729
GaussianNB,lac_split,30,1.0,5.0,0.3554,0.015999999945051968
GaussianNB,lac_split,31,1.0,5.0,0.3758,0.0
GaussianNB,lac_split,32,1.0,5.0,0.387,0.0
GaussianNB,lac_split,33,1.0,5.0,0.4202,0.01600000006146729
GaussianNB,lac_split,34,1.0,5.0,0.4852,0.015999999945051968
GaussianNB,lac_split,35,0.816,3.5934,0.3724,0.0
GaussianNB,lac_split,36,0.94,4.4442,0.4358,0.0
GaussianNB,lac_split,37,0.9032,4.2802,0.4288,0.0
GaussianNB,lac_split,38,0.9394,4.2474,0.4632,0.0
GaussianNB,lac_split,39,0.8796,3.5594,0.4212,0.0
GaussianNB,lac_split,40,0.9736,4.4384,0.4,0.01600000006146729
GaussianNB,lac_split,41,0.9278,3.948,0.4556,0.0
GaussianNB,lac_split,42,0.8884,3.2556,0.4848,0.0
GaussianNB,lac_split,43,0.9172,3.346,0.5226,0.015999999945051968
GaussianNB,lac_split,44,0.9192,3.736,0.4982,0.0
GaussianNB,lac_split,45,0.8058,2.538,0.5114,0.0
GaussianNB,lac_split,46,0.9406,3.7138,0.5116,0.01600000006146729
GaussianNB,lac_split,47,0.877,3.1176,0.49,0.015999999945051968
GaussianNB,lac_split,48,0.7522,2.0886,0.5192,0.0
GaussianNB,lac_split,49,0.949,3.9872,0.4872,0.0
GaussianNB,lac_split,50,0.9474,3.8316,0.5174,0.0
GaussianNB,lac_split,51,0.9806,4.407,0.515,0.0
GaussianNB,lac_split,52,0.9518,3.9114,0.5318,0.0
GaussianNB,lac_split,53,0.9346,3.549,0.5354,0.0
GaussianNB,lac_split,54,0.9794,4.385,0.5636,0.01600000006146729
GaussianNB,lac_split,55,0.89,2.935,0.5684,0.0
GaussianNB,lac_split,56,0.9548,4.1234,0.4602,0.015999999945051968
GaussianNB,lac_split,57,0.832,2.636,0.5016,0.0
GaussianNB,lac_split,58,0.992,4.6914,0.5576,0.0
GaussianNB,lac_split,59,0.9028,2.5096,0.6266,0.0
GaussianNB,lac_split,60,0.944,3.4316,0.5208,0.0
GaussianNB,lac_split,61,0.9506,3.7796,0.5612,0.0
GaussianNB,lac_split,62,0.9502,3.4132,0.5752,0.015000000013969839
GaussianNB,lac_split,63,0.9688,3.5688,0.5954,0.0
GaussianNB,lac_split,64,0.7574,1.916,0.5438,0.0
GaussianNB,lac_split,65,0.9804,4.353,0.5854,0.0
GaussianNB,lac_split,66,0.9642,4.1042,0.5144,0.0
GaussianNB,lac_split,67,0.963,3.74,0.5432,0.0
GaussianNB,lac_split,68,0.9724,4.0816,0.5854,0.0
GaussianNB,lac_split,69,0.9138,2.852,0.5722,0.0
GaussianNB,lac_split,70,0.9958,4.7284,0.5816,0.0
GaussianNB,lac_split,71,0.9636,3.4792,0.5956,0.0
GaussianNB,lac_split,72,0.9498,3.4174,0.598,0.015000000013969839
GaussianNB,lac_split,73,0.893,2.481,0.5932,0.01600000006146729
GaussianNB,lac_split,74,0.9618,3.6478,0.5544,0.015999999945051968
GaussianNB,lac_split,75,0.8914,2.5262,0.586,0.0
GaussianNB,lac_split,76,0.9702,3.9654,0.5636,0.0
GaussianNB,lac_split,77,0.9474,3.266,0.5962,0.0
GaussianNB,lac_split,78,0.9736,3.8112,0.6324,0.0
GaussianNB,lac_split,79,0.9794,4.291,0.5232,0.0
GaussianNB,lac_split,80,0.912,2.7712,0.6068,0.015000000013969839
GaussianNB,lac_split,81,0.9312,2.5966,0.6266,0.0
GaussianNB,lac_split,82,0.9724,3.725,0.6116,0.01600000006146729
GaussianNB,lac_split,83,0.9134,2.773,0.5598,0.0
GaussianNB,lac_split,84,0.9748,3.5698,0.633,0.015999999945051968
GaussianNB,lac_split,85,0.963,3.6874,0.5942,0.0
GaussianNB,lac_split,86,0.9884,4.42,0.602,0.015000000013969839
GaussianNB,lac_split,87,0.962,4.0334,0.621,0.01600000006146729
GaussianNB,lac_split,88,0.955,3.2724,0.6354,0.0
GaussianNB,lac_split,89,0.9774,3.8162,0.6112,0.0
GaussianNB,lac_split,90,0.971,3.5528,0.6344,0.0
GaussianNB,lac_split,91,0.993,4.48,0.588,0.0
GaussianNB,lac_split,92,0.9772,3.596,0.6338,0.0
GaussianNB,lac_split,93,0.9682,3.9936,0.5762,0.0
GaussianNB,lac_split,94,0.9324,2.8386,0.6104,0.015000000013969839
GaussianNB,lac_split,95,0.9924,4.0816,0.639,0.0
GaussianNB,lac_split,96,0.8466,1.9796,0.6242,0.01600000006146729
GaussianNB,lac_split,97,0.948,2.9324,0.6034,0.0
GaussianNB,lac_split,98,0.9706,3.6918,0.6148,0.0
GaussianNB,lac_split,99,0.992,4.36,0.6458,0.015999999945051968
GaussianNB,lac_split,100,0.8728,2.1224,0.6266,0.0
GaussianNB,lac_split,101,0.9454,3.0092,0.6056,0.015000000013969839
GaussianNB,lac_split,102,0.9052,2.699,0.5984,0.0
GaussianNB,lac_split,103,0.9486,3.1256,0.6248,0.015999999945051968
GaussianNB,lac_split,104,0.8314,1.7238,0.6396,0.0
GaussianNB,lac_split,105,0.985,3.8506,0.6334,0.015000000013969839
GaussianNB,lac_split,106,0.9516,3.3968,0.6096,0.0
GaussianNB,lac_split,107,0.8142,1.7752,0.6204,0.015999999945051968
GaussianNB,lac_split,108,0.8968,2.1958,0.6594,0.0
GaussianNB,lac_split,109,0.9864,4.3004,0.621,0.0
GaussianNB,lac_split,110,0.767,1.6344,0.5972,0.0
GaussianNB,lac_split,111,0.913,2.677,0.595,0.0
GaussianNB,lac_split,112,0.9786,4.1492,0.6242,0.015999999945051968
