model,strategy,training_size,coverage,set_size,acc,duration
GaussianNB,lac_split,16,1.0,5.0,0.3194,0.0
GaussianNB,lac_split,17,1.0,5.0,0.2002,0.015999999945051968
GaussianNB,lac_split,18,1.0,5.0,0.2148,0.015000000013969839
GaussianNB,lac_split,19,1.0,5.0,0.251,0.0
GaussianNB,lac_split,20,1.0,5.0,0.2446,0.0
GaussianNB,lac_split,21,1.0,5.0,0.2212,0.0
GaussianNB,lac_split,22,1.0,5.0,0.2358,0.0
GaussianNB,lac_split,23,1.0,5.0,0.3394,0.0
GaussianNB,lac_split,24,1.0,5.0,0.274,0.0
GaussianNB,lac_split,25,1.0,5.0,0.3062,0.0
GaussianNB,lac_split,26,1.0,5.0,0.3158,0.0
GaussianNB,lac_split,27,1.0,5.0,0.263,0.0
GaussianNB,lac_split,28,1.0,5.0,0.3556,0.015999999945051968
GaussianNB,lac_split,29,1.0,5.0,0.3024,0.0
GaussianNB,lac_split,30,1.0,5.0,0.4652,0.0
GaussianNB,lac_split,31,1.0,5.0,0.3454,0.0
GaussianNB,lac_split,32,0.9216,4.3332,0.412,0.0
GaussianNB,lac_split,33,1.0,5.0,0.3682,0.0
GaussianNB,lac_split,34,0.9072,4.2376,0.4028,0.0
GaussianNB,lac_split,35,1.0,5.0,0.3428,0.0
GaussianNB,lac_split,36,0.8402,3.224,0.4282,0.0
GaussianNB,lac_split,37,0.9022,3.8822,0.4712,0.0
GaussianNB,lac_split,38,0.8918,3.6,0.4384,0.0
GaussianNB,lac_split,39,1.0,5.0,0.5066,0.0
GaussianNB,lac_split,40,1.0,5.0,0.3552,0.0
GaussianNB,lac_split,41,0.98,4.738,0.436,0.015999999945051968
GaussianNB,lac_split,42,0.9054,3.5462,0.5022,0.0
GaussianNB,lac_split,43,0.7776,2.4842,0.4634,0.015000000013969839
GaussianNB,lac_split,44,0.8916,3.4416,0.5076,0.0
GaussianNB,lac_split,45,0.9594,4.1966,0.516,0.015999999945051968
GaussianNB,lac_split,46,0.991,4.609,0.518,0.0
GaussianNB,lac_split,47,0.9746,4.4524,0.4932,0.015000000013969839
GaussianNB,lac_split,48,0.8558,2.4994,0.5632,0.01600000006146729
GaussianNB,lac_split,49,0.9364,4.0938,0.4856,0.0
GaussianNB,lac_split,50,0.9716,4.2748,0.47,0.0
GaussianNB,lac_split,51,0.9744,4.174,0.4842,0.015999999945051968
GaussianNB,lac_split,52,0.8114,2.1678,0.5518,0.0
GaussianNB,lac_split,53,0.933,3.626,0.5484,0.0
GaussianNB,lac_split,54,0.9918,4.7854,0.5058,0.0
GaussianNB,lac_split,55,0.878,2.836,0.4998,0.0
GaussianNB,lac_split,56,0.9978,4.9536,0.5194,0.015999999945051968
GaussianNB,lac_split,57,0.8694,2.7726,0.5478,0.0
GaussianNB,lac_split,58,1.0,5.0,0.5446,0.0
GaussianNB,lac_split,59,1.0,5.0,0.4924,0.0
GaussianNB,lac_split,60,0.9892,4.493,0.5718,0.0
GaussianNB,lac_split,61,0.9688,3.6732,0.5812,0.0
GaussianNB,lac_split,62,0.944,3.4416,0.5652,0.015000000013969839
GaussianNB,lac_split,63,0.9754,4.1546,0.5626,0.0
GaussianNB,lac_split,64,0.8466,2.4688,0.5558,0.01600000006146729
GaussianNB,lac_split,65,0.994,4.7008,0.562,0.0
GaussianNB,lac_split,66,0.9646,3.9728,0.5596,0.0
GaussianNB,lac_split,67,0.9694,3.7338,0.5752,0.0
GaussianNB,lac_split,68,0.8784,2.6144,0.542,0.0
GaussianNB,lac_split,69,0.8914,2.6234,0.6112,0.01600000006146729
GaussianNB,lac_split,70,0.9932,4.2968,0.5938,0.0
GaussianNB,lac_split,71,0.801,1.931,0.5836,0.0
GaussianNB,lac_split,72,0.7058,1.456,0.5788,0.0
GaussianNB,lac_split,73,0.992,4.3428,0.5736,0.0
GaussianNB,lac_split,74,0.9918,4.4646,0.6236,0.0
GaussianNB,lac_split,75,0.9476,3.46,0.541,0.0
GaussianNB,lac_split,76,0.9712,4.2528,0.5738,0.0
GaussianNB,lac_split,77,0.9866,4.357,0.6176,0.0
GaussianNB,lac_split,78,0.9186,2.8698,0.6036,0.0
GaussianNB,lac_split,79,0.9688,3.7966,0.541,0.0
GaussianNB,lac_split,80,0.8826,2.3978,0.608,0.01600000006146729
GaussianNB,lac_split,81,0.9568,3.4588,0.6146,0.015999999945051968
GaussianNB,lac_split,82,0.8564,2.271,0.6102,0.015000000013969839
GaussianNB,lac_split,83,0.9696,3.6566,0.589,0.015999999945051968
GaussianNB,lac_split,84,0.9472,3.674,0.5784,0.0
GaussianNB,lac_split,85,0.9972,4.9146,0.6118,0.01600000006146729
GaussianNB,lac_split,86,0.9584,3.9902,0.5932,0.0
GaussianNB,lac_split,87,0.9764,4.0458,0.5604,0.0
GaussianNB,lac_split,88,0.889,2.8252,0.5872,0.015000000013969839
GaussianNB,lac_split,89,0.998,4.8672,0.5952,0.0
GaussianNB,lac_split,90,0.959,3.473,0.6076,0.0
GaussianNB,lac_split,91,0.9878,4.2078,0.6242,0.0
GaussianNB,lac_split,92,0.9976,4.7666,0.56,0.0
GaussianNB,lac_split,93,0.9398,2.8648,0.6154,0.015000000013969839
GaussianNB,lac_split,94,0.999,4.697,0.639,0.0
GaussianNB,lac_split,95,0.9842,3.8734,0.6102,0.0
GaussianNB,lac_split,96,0.976,3.9726,0.6042,0.0
GaussianNB,lac_split,97,0.9272,2.7602,0.6298,0.0
GaussianNB,lac_split,98,0.8942,2.3388,0.6358,0.0
GaussianNB,lac_split,99,0.8826,2.146,0.6606,0.0
GaussianNB,lac_split,100,0.836,1.863,0.6372,0.0
GaussianNB,lac_split,101,0.9354,2.6712,0.638,0.015000000013969839
GaussianNB,lac_split,102,0.9296,2.6746,0.6392,0.0
GaussianNB,lac_split,103,0.9748,3.8168,0.5842,0.0
GaussianNB,lac_split,104,0.93,3.464,0.5624,0.01600000006146729
GaussianNB,lac_split,105,0.958,3.6684,0.598,0.015999999945051968
GaussianNB,lac_split,106,0.9564,2.8326,0.6674,0.015000000013969839
GaussianNB,lac_split,107,0.9608,3.726,0.5804,0.0
GaussianNB,lac_split,108,0.8988,2.3124,0.617,0.015999999945051968
GaussianNB,lac_split,109,0.8676,1.946,0.643,0.0
GaussianNB,lac_split,110,0.911,2.4084,0.62,0.0
GaussianNB,lac_split,111,0.9264,2.9528,0.5672,0.01600000006146729
GaussianNB,lac_split,112,0.9766,3.7444,0.6324,0.0
GaussianNB,lac_split,113,0.809,1.6456,0.6404,0.0
GaussianNB,lac_split,114,0.9426,2.8128,0.6596,0.0
GaussianNB,lac_split,115,0.8908,2.3104,0.6438,0.015000000013969839
GaussianNB,lac_split,116,0.8054,1.7618,0.62,0.01600000006146729
GaussianNB,lac_split,117,0.9288,2.639,0.639,0.0
GaussianNB,lac_split,118,0.9184,2.5832,0.6344,0.0
GaussianNB,lac_split,119,0.876,2.198,0.6364,0.0
GaussianNB,lac_split,120,0.9532,3.0172,0.6734,0.0
GaussianNB,lac_split,121,0.9856,4.0012,0.624,0.0
GaussianNB,lac_split,122,0.9946,4.5466,0.6566,0.0
GaussianNB,lac_split,123,0.9054,2.336,0.6442,0.015000000013969839
GaussianNB,lac_split,124,0.9462,3.0232,0.6394,0.0
GaussianNB,lac_split,125,0.8634,2.1406,0.6096,0.0
GaussianNB,lac_split,126,0.9452,2.5666,0.6636,0.01600000006146729
GaussianNB,lac_split,127,0.9186,2.202,0.6788,0.0
GaussianNB,lac_split,128,0.9306,2.755,0.6692,0.015000000013969839
GaussianNB,lac_split,129,0.9514,2.9932,0.629,0.0
GaussianNB,lac_split,130,0.9686,3.305,0.6234,0.0
GaussianNB,lac_split,131,0.9906,3.8882,0.6682,0.0
GaussianNB,lac_split,132,0.9684,3.3034,0.6342,0.0
GaussianNB,lac_split,133,0.866,1.9668,0.6584,0.0
GaussianNB,lac_split,134,0.9778,3.2428,0.6796,0.015000000013969839
GaussianNB,lac_split,135,0.9192,2.1816,0.6596,0.0
GaussianNB,lac_split,136,0.9762,3.662,0.6442,0.015999999945051968
GaussianNB,lac_split,137,0.9604,3.142,0.6288,0.015000000013969839
GaussianNB,lac_split,138,0.9784,3.536,0.6596,0.0
GaussianNB,lac_split,139,0.9826,3.9272,0.635,0.0
GaussianNB,lac_split,140,0.8876,2.0666,0.6596,0.015999999945051968
GaussianNB,lac_split,141,0.8892,2.1986,0.6404,0.0
GaussianNB,lac_split,142,0.9736,3.348,0.666,0.0
GaussianNB,lac_split,143,0.9556,3.1552,0.6512,0.0
GaussianNB,lac_split,144,0.9676,3.4982,0.6716,0.0
GaussianNB,lac_split,145,0.9482,2.9532,0.6622,0.01600000006146729
GaussianNB,lac_split,146,0.9574,3.1696,0.6264,0.0
GaussianNB,lac_split,147,0.865,1.924,0.654,0.030999999959021807
GaussianNB,lac_split,148,0.938,2.508,0.6656,0.0
GaussianNB,lac_split,149,0.8564,1.7122,0.6772,0.0
GaussianNB,lac_split,150,0.8578,1.7292,0.6802,0.0
GaussianNB,lac_split,151,0.8514,1.7372,0.6686,0.0
GaussianNB,lac_split,152,0.9632,2.949,0.6314,0.0
GaussianNB,lac_split,153,0.9496,2.8944,0.642,0.0
GaussianNB,lac_split,154,0.918,2.473,0.6292,0.015999999945051968
GaussianNB,lac_split,155,0.9128,2.2384,0.6548,0.0
GaussianNB,lac_split,156,0.953,2.504,0.681,0.015000000013969839
GaussianNB,lac_split,157,0.8612,1.7748,0.6618,0.0
GaussianNB,lac_split,158,0.9318,2.2742,0.6808,0.01600000006146729
GaussianNB,lac_split,159,0.8698,1.869,0.6702,0.0
GaussianNB,lac_split,160,0.907,1.9714,0.6872,0.0
GaussianNB,lac_split,161,0.906,2.0322,0.666,0.0
GaussianNB,lac_split,162,0.9392,2.664,0.6566,0.0
GaussianNB,lac_split,163,0.9032,2.1678,0.641,0.015999999945051968
GaussianNB,lac_split,164,0.8954,2.2076,0.623,0.0
GaussianNB,lac_split,165,0.9606,2.8508,0.6828,0.0
GaussianNB,lac_split,166,0.9676,3.2222,0.6426,0.01600000006146729
GaussianNB,lac_split,167,0.9678,3.0022,0.648,0.0
GaussianNB,lac_split,168,0.9178,2.3024,0.6488,0.015999999945051968
GaussianNB,lac_split,169,0.9718,3.0588,0.65,0.0
GaussianNB,lac_split,170,0.916,1.9952,0.7,0.0
GaussianNB,lac_split,171,0.9298,2.4594,0.6576,0.0
GaussianNB,lac_split,172,0.952,2.8284,0.6542,0.0
GaussianNB,lac_split,173,0.9724,3.2652,0.667,0.0
GaussianNB,lac_split,174,0.9396,2.4794,0.6554,0.0
GaussianNB,lac_split,175,0.9328,2.2374,0.6876,0.015000000013969839
GaussianNB,lac_split,176,0.9016,2.0278,0.6878,0.0
GaussianNB,lac_split,177,0.951,2.7278,0.6762,0.0
GaussianNB,lac_split,178,0.9394,2.3714,0.6914,0.015000000013969839
GaussianNB,lac_split,179,0.968,3.0448,0.6652,0.0
GaussianNB,lac_split,180,0.9386,2.4888,0.6724,0.01600000006146729
GaussianNB,lac_split,181,0.943,2.5248,0.6972,0.0
GaussianNB,lac_split,182,0.94,2.7014,0.653,0.0
GaussianNB,lac_split,183,0.9786,3.2024,0.7062,0.0
GaussianNB,lac_split,184,0.9484,2.5746,0.6822,0.0
GaussianNB,lac_split,185,0.9588,2.5964,0.6738,0.015000000013969839
GaussianNB,lac_split,186,0.9168,2.1192,0.6864,0.0
GaussianNB,lac_split,187,0.8986,1.9976,0.6764,0.0
GaussianNB,lac_split,188,0.9524,3.0316,0.6792,0.0
GaussianNB,lac_split,189,0.95,2.53,0.6884,0.015000000013969839
GaussianNB,lac_split,190,0.883,1.921,0.6734,0.0
GaussianNB,lac_split,191,0.9478,2.8458,0.6488,0.015999999945051968
GaussianNB,lac_split,192,0.874,1.8514,0.668,0.0
GaussianNB,lac_split,193,0.8018,1.4712,0.6612,0.0
GaussianNB,lac_split,194,0.941,2.336,0.6884,0.0
GaussianNB,lac_split,195,0.8482,1.6664,0.6788,0.0
GaussianNB,lac_split,196,0.8936,1.8476,0.6774,0.015999999945051968
GaussianNB,lac_split,197,0.9392,2.4374,0.6772,0.0
GaussianNB,lac_split,198,0.7918,1.333,0.682,0.0
GaussianNB,lac_split,199,0.7878,1.3136,0.6844,0.0
GaussianNB,lac_cv+_mean,16,1.0,5.0,0.3486,0.015000000013969839
GaussianNB,lac_cv+_mean,17,1.0,5.0,0.3766,0.0
GaussianNB,lac_cv+_mean,18,1.0,5.0,0.4126,0.0
GaussianNB,lac_cv+_mean,19,1.0,5.0,0.4586,0.01600000006146729
GaussianNB,lac_cv+_mean,20,1.0,5.0,0.266,0.0
GaussianNB,lac_cv+_mean,21,1.0,5.0,0.453,0.015999999945051968
GaussianNB,lac_cv+_mean,22,1.0,5.0,0.367,0.03100000007543713
GaussianNB,lac_cv+_mean,23,1.0,5.0,0.4982,0.0
GaussianNB,lac_cv+_mean,24,1.0,5.0,0.4616,0.01600000006146729
GaussianNB,lac_cv+_mean,25,1.0,5.0,0.4544,0.015000000013969839
GaussianNB,lac_cv+_mean,26,1.0,5.0,0.4558,0.015999999945051968
GaussianNB,lac_cv+_mean,27,1.0,5.0,0.4702,0.01600000006146729
GaussianNB,lac_cv+_mean,28,1.0,5.0,0.4406,0.0
GaussianNB,lac_cv+_mean,29,1.0,5.0,0.4382,0.01600000006146729
GaussianNB,lac_cv+_mean,30,1.0,5.0,0.4976,0.0
GaussianNB,lac_cv+_mean,31,1.0,5.0,0.488,0.015999999945051968
GaussianNB,lac_cv+_mean,32,1.0,5.0,0.453,0.0
GaussianNB,lac_cv+_mean,33,1.0,5.0,0.4584,0.015999999945051968
GaussianNB,lac_cv+_mean,34,1.0,5.0,0.5154,0.0
GaussianNB,lac_cv+_mean,35,1.0,5.0,0.5682,0.0
GaussianNB,lac_cv+_mean,36,0.9974,4.891,0.462,0.015999999945051968
GaussianNB,lac_cv+_mean,37,1.0,5.0,0.5534,0.015000000013969839
GaussianNB,lac_cv+_mean,38,0.9756,4.714,0.5016,0.0
GaussianNB,lac_cv+_mean,39,0.9982,4.9304,0.538,0.01600000006146729
GaussianNB,lac_cv+_mean,40,0.9804,4.3984,0.5244,0.0
GaussianNB,lac_cv+_mean,41,1.0,5.0,0.512,0.015999999945051968
GaussianNB,lac_cv+_mean,42,0.991,4.7966,0.5388,0.01600000006146729
GaussianNB,lac_cv+_mean,43,0.9964,4.8086,0.5376,0.015000000013969839
GaussianNB,lac_cv+_mean,44,0.9864,4.4064,0.5142,0.0
GaussianNB,lac_cv+_mean,45,0.9712,4.2286,0.5178,0.015000000013969839
GaussianNB,lac_cv+_mean,46,0.9836,4.392,0.5174,0.0
GaussianNB,lac_cv+_mean,47,0.9932,4.6398,0.5458,0.01600000006146729
GaussianNB,lac_cv+_mean,48,0.98,4.5438,0.5378,0.0
GaussianNB,lac_cv+_mean,49,0.931,4.056,0.5248,0.03200000000651926
GaussianNB,lac_cv+_mean,50,0.9642,4.23,0.5686,0.0
GaussianNB,lac_cv+_mean,51,0.9958,4.564,0.5606,0.030999999959021807
