model,strategy,training_size,coverage,set_size,acc,duration
GaussianNB,lac_split,16,1.0,5.0,0.35,0.0
GaussianNB,lac_split,17,1.0,5.0,0.2004,0.0
GaussianNB,lac_split,18,1.0,5.0,0.2292,0.015000000013969839
GaussianNB,lac_split,19,1.0,5.0,0.309,0.0
GaussianNB,lac_split,20,1.0,5.0,0.2096,0.0
GaussianNB,lac_split,21,1.0,5.0,0.2606,0.0
GaussianNB,lac_split,22,1.0,5.0,0.21,0.0
GaussianNB,lac_split,23,1.0,5.0,0.2176,0.01600000006146729
GaussianNB,lac_split,24,1.0,5.0,0.3494,0.0
GaussianNB,lac_split,25,1.0,5.0,0.3478,0.0
GaussianNB,lac_split,26,1.0,5.0,0.3714,0.015000000013969839
GaussianNB,lac_split,27,1.0,5.0,0.3876,0.0
GaussianNB,lac_split,28,1.0,5.0,0.349,0.0
GaussianNB,lac_split,29,1.0,5.0,0.3702,0.0
GaussianNB,lac_split,30,0.7958,3.5112,0.3252,0.0
GaussianNB,lac_split,31,1.0,5.0,0.3858,0.0
GaussianNB,lac_split,32,1.0,5.0,0.4014,0.0
GaussianNB,lac_split,33,1.0,5.0,0.4044,0.0
GaussianNB,lac_split,34,1.0,5.0,0.3988,0.0
GaussianNB,lac_split,35,0.9144,3.896,0.4632,0.0
GaussianNB,lac_split,36,1.0,5.0,0.4458,0.015000000013969839
GaussianNB,lac_split,37,0.906,3.4094,0.4598,0.0
GaussianNB,lac_split,38,1.0,5.0,0.4414,0.01600000006146729
GaussianNB,lac_split,39,0.7176,2.065,0.4762,0.0
GaussianNB,lac_split,40,0.944,4.1614,0.4772,0.0
GaussianNB,lac_split,41,0.8852,3.5486,0.4768,0.0
GaussianNB,lac_split,42,0.9488,4.2412,0.4612,0.01600000006146729
GaussianNB,lac_split,43,1.0,5.0,0.4936,0.0
GaussianNB,lac_split,44,0.97,4.2366,0.5272,0.015999999945051968
GaussianNB,lac_split,45,0.9816,4.5324,0.501,0.0
GaussianNB,lac_split,46,1.0,5.0,0.5212,0.015000000013969839
GaussianNB,lac_split,47,0.9556,4.0632,0.5116,0.0
GaussianNB,lac_split,48,0.8814,2.8898,0.5332,0.0
GaussianNB,lac_split,49,0.9842,4.6766,0.524,0.015000000013969839
GaussianNB,lac_split,50,0.9382,3.7188,0.5222,0.0
GaussianNB,lac_split,51,0.9164,3.1352,0.5692,0.0
GaussianNB,lac_split,52,0.8752,3.2178,0.5178,0.0
GaussianNB,lac_split,53,0.9688,4.1726,0.5292,0.0
GaussianNB,lac_split,54,0.9774,4.4704,0.536,0.0
GaussianNB,lac_split,55,0.7166,1.586,0.562,0.0
GaussianNB,lac_split,56,0.878,2.8388,0.5646,0.0
GaussianNB,lac_split,57,0.9612,4.3722,0.5108,0.0
GaussianNB,lac_split,58,0.7934,2.3858,0.4868,0.0
GaussianNB,lac_split,59,0.8706,2.6166,0.5494,0.0
GaussianNB,lac_split,60,0.7828,2.2512,0.524,0.0
GaussianNB,lac_split,61,0.885,2.5188,0.5844,0.015000000013969839
GaussianNB,lac_split,62,0.8964,3.1462,0.5454,0.0
GaussianNB,lac_split,63,0.948,3.45,0.5998,0.0
GaussianNB,lac_split,64,0.989,4.7598,0.5446,0.0
GaussianNB,lac_split,65,0.9796,4.4058,0.5096,0.0
GaussianNB,lac_split,66,0.9138,3.2728,0.5698,0.0
GaussianNB,lac_split,67,0.9204,3.0532,0.5854,0.03200000000651926
GaussianNB,lac_split,68,0.8938,3.3408,0.506,0.0
GaussianNB,lac_split,69,0.9906,4.469,0.5524,0.015000000013969839
GaussianNB,lac_split,70,0.9836,4.404,0.5724,0.0
GaussianNB,lac_split,71,0.9964,4.7098,0.553,0.0
GaussianNB,lac_split,72,0.9564,3.7552,0.5556,0.0
GaussianNB,lac_split,73,0.9292,3.5374,0.5446,0.0
GaussianNB,lac_split,74,0.9886,4.2744,0.6174,0.0
GaussianNB,lac_split,75,0.9906,4.7706,0.5246,0.0
GaussianNB,lac_split,76,0.9004,3.0714,0.5554,0.015999999945051968
GaussianNB,lac_split,77,0.9792,4.0384,0.569,0.0
GaussianNB,lac_split,78,0.9908,4.2836,0.5928,0.0
GaussianNB,lac_split,79,0.8868,2.4654,0.5712,0.01600000006146729
GaussianNB,lac_split,80,0.9938,4.6082,0.6034,0.0
GaussianNB,lac_split,81,0.9862,4.3868,0.5572,0.0
GaussianNB,lac_split,82,0.9624,3.6052,0.5956,0.015000000013969839
GaussianNB,lac_split,83,0.9906,4.2384,0.6542,0.0
GaussianNB,lac_split,84,0.9836,4.213,0.5842,0.0
GaussianNB,lac_split,85,0.9452,3.6838,0.5948,0.015999999945051968
GaussianNB,lac_split,86,0.9982,4.7574,0.6298,0.0
GaussianNB,lac_split,87,0.9926,4.6956,0.5778,0.0
GaussianNB,lac_split,88,0.9832,3.8872,0.617,0.015999999945051968
GaussianNB,lac_split,89,0.9366,3.1782,0.5948,0.0
GaussianNB,lac_split,90,0.997,4.8502,0.6232,0.0
GaussianNB,lac_split,91,0.9016,2.6516,0.625,0.01600000006146729
GaussianNB,lac_split,92,0.9562,3.4084,0.621,0.0
GaussianNB,lac_split,93,0.8762,2.527,0.576,0.015999999945051968
GaussianNB,lac_split,94,0.9848,4.0444,0.6044,0.0
GaussianNB,lac_split,95,0.9712,3.7726,0.6218,0.0
GaussianNB,lac_split,96,0.7802,1.6336,0.6154,0.01600000006146729
GaussianNB,lac_split,97,0.9506,3.5654,0.5772,0.0
GaussianNB,lac_split,98,0.9504,3.3986,0.6088,0.015999999945051968
GaussianNB,lac_split,99,0.897,2.3334,0.644,0.0
GaussianNB,lac_split,100,0.7648,1.5592,0.608,0.0
GaussianNB,lac_split,101,0.9552,3.403,0.6216,0.0
GaussianNB,lac_split,102,0.9792,3.841,0.6204,0.0
GaussianNB,lac_split,103,0.8012,1.9306,0.5796,0.015000000013969839
GaussianNB,lac_split,104,0.7906,1.4794,0.6544,0.0
GaussianNB,lac_split,105,0.9692,3.72,0.6364,0.0
GaussianNB,lac_split,106,0.9222,2.7306,0.599,0.0
GaussianNB,lac_split,107,0.9672,3.4694,0.5848,0.0
GaussianNB,lac_split,108,0.8332,1.6558,0.6474,0.015000000013969839
GaussianNB,lac_split,109,0.9606,3.9258,0.5532,0.0
GaussianNB,lac_split,110,0.902,2.4838,0.606,0.0
GaussianNB,lac_split,111,0.9404,3.198,0.616,0.0
GaussianNB,lac_split,112,0.9438,3.013,0.603,0.0
GaussianNB,lac_split,113,0.9394,2.7326,0.6374,0.015999999945051968
GaussianNB,lac_split,114,0.8654,2.4598,0.5986,0.0
GaussianNB,lac_split,115,0.9606,3.1774,0.66,0.0
GaussianNB,lac_split,116,0.9134,2.7826,0.6154,0.0
GaussianNB,lac_split,117,0.9622,2.8794,0.6454,0.0
GaussianNB,lac_split,118,0.9548,3.135,0.6464,0.015000000013969839
GaussianNB,lac_split,119,0.9352,3.055,0.6138,0.01600000006146729
GaussianNB,lac_split,120,0.8674,2.0016,0.6398,0.015999999945051968
GaussianNB,lac_split,121,0.9496,3.2344,0.6232,0.0
GaussianNB,lac_split,122,0.9632,3.6938,0.6106,0.0
GaussianNB,lac_split,123,0.9884,4.2358,0.6538,0.0
GaussianNB,lac_split,124,0.9022,2.3672,0.6414,0.015999999945051968
GaussianNB,lac_split,125,0.888,2.2336,0.626,0.0
GaussianNB,lac_split,126,0.8718,2.0468,0.6306,0.015000000013969839
GaussianNB,lac_split,127,0.8756,2.324,0.6136,0.0
GaussianNB,lac_split,128,0.9726,3.488,0.6318,0.0
GaussianNB,lac_split,129,0.9586,3.237,0.667,0.0
GaussianNB,lac_split,130,0.8778,2.286,0.5984,0.0
GaussianNB,lac_split,131,0.9824,4.0488,0.638,0.01600000006146729
GaussianNB,lac_split,132,0.9724,3.6794,0.64,0.0
GaussianNB,lac_split,133,0.9754,3.7822,0.612,0.0
GaussianNB,lac_split,134,0.9808,3.6766,0.648,0.0
GaussianNB,lac_split,135,0.8956,2.2214,0.6358,0.0
GaussianNB,lac_split,136,0.8062,1.6578,0.6224,0.0
GaussianNB,lac_split,137,0.8428,1.8988,0.6452,0.0
GaussianNB,lac_split,138,0.9678,3.5124,0.6518,0.0
GaussianNB,lac_split,139,0.973,3.4606,0.654,0.0
GaussianNB,lac_split,140,0.9312,2.6786,0.6156,0.0
GaussianNB,lac_split,141,0.7742,1.514,0.6248,0.0
GaussianNB,lac_split,142,0.9762,3.4218,0.6558,0.0
GaussianNB,lac_split,143,0.8136,1.6096,0.6506,0.015000000013969839
GaussianNB,lac_split,144,0.8904,2.2418,0.6338,0.01600000006146729
GaussianNB,lac_split,145,0.7378,1.1824,0.6774,0.0
GaussianNB,lac_split,146,0.846,1.8992,0.6304,0.0
GaussianNB,lac_split,147,0.868,1.9132,0.6574,0.0
GaussianNB,lac_split,148,0.9724,3.629,0.6248,0.0
GaussianNB,lac_split,149,0.9592,3.081,0.6322,0.0
GaussianNB,lac_split,150,0.9432,3.0606,0.6138,0.0
GaussianNB,lac_split,151,0.895,2.1738,0.6346,0.0
GaussianNB,lac_split,152,0.9014,2.4324,0.6418,0.0
GaussianNB,lac_split,153,0.907,2.3056,0.654,0.0
GaussianNB,lac_split,154,0.7772,1.4216,0.6476,0.015999999945051968
GaussianNB,lac_split,155,0.9084,2.4032,0.6378,0.0
GaussianNB,lac_split,156,0.8764,1.958,0.6598,0.0
GaussianNB,lac_split,157,0.9342,2.6882,0.6626,0.0
